,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
pha-miR-1049,1.61997137823836,0.145970630923346,0.141059750156626,1.03481418874815,0.300755695319621,0.88206697826884,FALSE,pha-miR-1049,pha
hsa-miR-183-5p,0.983704403129273,-0.249842137540002,0.241738653931136,-1.033521670933,0.301359834370671,0.88206697826884,FALSE,hsa-miR-183-5p,hsa
hsa-miR-24-1-5p,4.37860879071852,0.077964223615624,0.0754842107766885,1.03285472303966,0.301671890054388,0.88206697826884,FALSE,hsa-miR-24-1-5p,hsa
mmu-miR-24-1-5p,4.37860879071852,0.077964223615624,0.0754842107766885,1.03285472303966,0.301671890054388,0.88206697826884,FALSE,mmu-miR-24-1-5p,mmu
hsa-miR-223-5p,210.188984210213,0.0303081964006591,0.0293443772536949,1.03284510482644,0.301676391856054,0.88206697826884,FALSE,hsa-miR-223-5p,hsa
mmu-miR-223-5p,210.316657569135,0.0303523386998716,0.0294185057317147,1.03174304557387,0.302192506479002,0.88206697826884,FALSE,mmu-miR-223-5p,mmu
pal-miR-500-3p,193.225045083452,0.0247567345673221,0.0240301194864573,1.03023768072707,0.302898445357776,0.88206697826884,FALSE,pal-miR-500-3p,pal
pha-miR-1045,2.03979039693847,0.107410295285247,0.105385190872935,1.01921621430428,0.308100330599378,0.88206697826884,FALSE,pha-miR-1045,pha
pal-miR-23b-3p,1454.12787535753,0.0204307383424147,0.0201046640234855,1.01621883949656,0.309525186975477,0.88206697826884,FALSE,pal-miR-23b-3p,pal
hsa-miR-365b-5p,99.1880707417464,-0.0689175067799462,0.0680283829355161,-1.01306989532991,0.311026776567254,0.88206697826884,FALSE,hsa-miR-365b-5p,hsa
mmu-miR-365-2-5p,99.1880707417464,-0.0689175067799462,0.0680283829355161,-1.01306989532991,0.311026776567254,0.88206697826884,FALSE,mmu-miR-365-2-5p,mmu
pal-miR-107a-3p,11300.576920877,-0.0195089992426249,0.0193415984656577,-1.00865496082263,0.313140138982101,0.88206697826884,FALSE,pal-miR-107a-3p,pal
pal-miR-146b-5p,2582.72061668484,0.0216362786421162,0.0214579361550443,1.00831126002908,0.313305059071205,0.88206697826884,FALSE,pal-miR-146b-5p,pal
mmu-miR-146b-5p,2583.253049533,0.0215870978974659,0.0214606924194598,1.00589009317758,0.314468442325269,0.88206697826884,FALSE,mmu-miR-146b-5p,mmu
hsa-miR-146b-5p,2583.253049533,0.0215870978974659,0.0214606924194598,1.00589009317758,0.314468442325269,0.88206697826884,FALSE,hsa-miR-146b-5p,hsa
pha-miR-1003,231.210589406897,-0.0365664498767655,0.0368848014741844,-0.991369030476098,0.321505416815552,0.88206697826884,FALSE,pha-miR-1003,pha
efu-miR-185,7053.55467018651,-0.0301904064547975,0.0305749040940044,-0.987424404079087,0.323434625572764,0.88206697826884,FALSE,efu-miR-185,efu
hsa-miR-185-5p,7053.55467018651,-0.0301904064547975,0.0305749040940044,-0.987424404079087,0.323434625572764,0.88206697826884,FALSE,hsa-miR-185-5p,hsa
efu-let-7f,156014.404915005,-0.0158189494084444,0.0161119213056086,-0.981816451830473,0.326190281632917,0.88206697826884,FALSE,efu-let-7f,efu
hsa-let-7f-5p,311877.038105605,-0.0157876114551016,0.0161262935770273,-0.978998142362471,0.327580897371107,0.88206697826884,FALSE,hsa-let-7f-5p,hsa
pal-miR-502-3p,66.5656369838875,0.0261159438814066,0.0267711666217271,0.975525058374231,0.329299878010542,0.88206697826884,FALSE,pal-miR-502-3p,pal
efu-miR-181c,206.899290910876,0.0244926651808049,0.0252337107126491,0.97063271667481,0.331731207925398,0.88206697826884,FALSE,efu-miR-181c,efu
hsa-miR-181c-5p,206.899290910876,0.0244926651808049,0.0252337107126491,0.97063271667481,0.331731207925398,0.88206697826884,FALSE,hsa-miR-181c-5p,hsa
pha-miR-1006,113.863465610823,-0.0321651069788933,0.0332897154578483,-0.966217540057407,0.333935337806875,0.88206697826884,FALSE,pha-miR-1006,pha
pal-miR-144-5p,263.290354136701,0.0403567133999014,0.0418528649471209,0.964252111555329,0.334919543654219,0.88206697826884,FALSE,pal-miR-144-5p,pal
hsa-miR-144-5p,264.420963007728,0.0398988720699162,0.0418629752740442,0.953082570188321,0.340548236531295,0.88206697826884,FALSE,hsa-miR-144-5p,hsa
mmu-miR-144-5p,264.420963007728,0.0398988720699162,0.0418629752740442,0.953082570188321,0.340548236531295,0.88206697826884,FALSE,mmu-miR-144-5p,mmu
pal-miR-30d-5p,3020.43642985238,-0.0199753892085104,0.0210034249821581,-0.951053898375099,0.341577015847648,0.88206697826884,FALSE,pal-miR-30d-5p,pal
hsa-miR-574-5p,8.8129119203085,0.0724131133324261,0.0766043052025878,0.945287776462723,0.344511977188198,0.88206697826884,FALSE,hsa-miR-574-5p,hsa
hsa-miR-30d-5p,3028.36411200626,-0.0198178070226542,0.0210179794952585,-0.94289781884719,0.345733170674355,0.88206697826884,FALSE,hsa-miR-30d-5p,hsa
pal-miR-181c-5p,205.772392894339,0.0235657037020515,0.0251242772558294,0.937965437257851,0.348262172422872,0.88206697826884,FALSE,pal-miR-181c-5p,pal
hsa-miR-96-5p,0.898104750363366,0.221262655816432,0.236687397267974,0.93483074456187,0.349875532567141,0.88206697826884,FALSE,hsa-miR-96-5p,hsa
pha-miR-1030,7.03224816348641,-0.0523120730634785,0.0561125929843874,-0.93226975053592,0.351197136440256,0.88206697826884,FALSE,pha-miR-1030,pha
mmu-miR-3969,2.7174412567871,-0.0864398953149878,0.0932663276927767,-0.926807106630429,0.354026694502002,0.88206697826884,FALSE,mmu-miR-3969,mmu
pha-miR-1053,1.65187722188116,0.121708857821294,0.132498156768144,0.918570195918051,0.358320427054953,0.88206697826884,FALSE,pha-miR-1053,pha
pha-miR-1058,0.794351613210027,-0.174716516542718,0.190927410346117,-0.915093941859831,0.360142315080013,0.88206697826884,FALSE,pha-miR-1058,pha
mmu-miR-28b,0.75148664939963,0.190407966262781,0.208901393090264,0.91147293680568,0.362046238781856,0.88206697826884,FALSE,mmu-miR-28b,mmu
pal-miR-15a-5p,29847.9062304679,0.0193528861878346,0.0214209383088903,0.903456511043806,0.366283659314128,0.88206697826884,FALSE,pal-miR-15a-5p,pal
hsa-miR-15a-5p,30010.3635193607,0.0192665357474763,0.021402788742233,0.900188100696365,0.368020157525169,0.88206697826884,FALSE,hsa-miR-15a-5p,hsa
hsa-miR-500a-5p,138.566351077874,0.0193705786917321,0.0215461914000356,0.899025648296251,0.368638999260975,0.88206697826884,FALSE,hsa-miR-500a-5p,hsa
efu-miR-26c,28909.0888494154,0.0153547767824144,0.0171646281548945,0.894559243803716,0.371022746834136,0.88206697826884,FALSE,efu-miR-26c,efu
hsa-miR-26a-5p,57809.4990421445,0.0153508749325004,0.0171655383875509,0.894284501069509,0.371169690391804,0.88206697826884,FALSE,hsa-miR-26a-5p,hsa
efu-miR-26a,28900.410192729,0.0153580974993496,0.0171751420778809,0.894204975406204,0.371212230680653,0.88206697826884,FALSE,efu-miR-26a,efu
pal-miR-574-5p,8.71096566335369,0.0688741097970413,0.0771067077528052,0.893231105364313,0.371733423745518,0.88206697826884,FALSE,pal-miR-574-5p,pal
mmu-miR-503-5p,27.9446861481491,0.0393634079193016,0.0441437534909495,0.891709580776181,0.372548616913232,0.88206697826884,FALSE,mmu-miR-503-5p,mmu
hsa-miR-449b-5p,0.701731456029687,0.212536507753068,0.238941932125118,0.889490203175295,0.373739686025816,0.88206697826884,FALSE,hsa-miR-449b-5p,hsa
efu-miR-497,114.189754721953,-0.0275454954379461,0.0311656762792191,-0.883840773778206,0.376782172399368,0.88206697826884,FALSE,efu-miR-497,efu
hsa-miR-497-5p,114.189754721953,-0.0275454954379461,0.0311656762792191,-0.883840773778206,0.376782172399368,0.88206697826884,FALSE,hsa-miR-497-5p,hsa
mmu-miR-497a-5p,114.189754721953,-0.0275454954379461,0.0311656762792191,-0.883840773778206,0.376782172399368,0.88206697826884,FALSE,mmu-miR-497a-5p,mmu
hsa-miR-151a-5p,1767.17834349573,0.0203944937541984,0.0231860807810691,0.879600737475653,0.379075639215545,0.88206697826884,FALSE,hsa-miR-151a-5p,hsa
hsa-miR-130b-5p,8.88682846706611,0.0461645639189924,0.0525046328356144,0.879247438288504,0.379267128248273,0.88206697826884,FALSE,hsa-miR-130b-5p,hsa
mmu-miR-130b-5p,8.88682846706611,0.0461645639189924,0.0525046328356144,0.879247438288504,0.379267128248273,0.88206697826884,FALSE,mmu-miR-130b-5p,mmu
pha-miR-1046,0.583522975173831,0.198988271439545,0.228971938688973,0.869050908940605,0.384819286015516,0.889894598910881,FALSE,pha-miR-1046,pha
hsa-miR-671-5p,33.023454468586,-0.0270376525889469,0.0323344822815542,-0.836186346004092,0.403050078513277,0.922394328540973,FALSE,hsa-miR-671-5p,hsa
pha-miR-1002,235.738711723144,0.0281076771213337,0.0341340389491852,0.823450080524523,0.410252093764008,0.922394328540973,FALSE,pha-miR-1002,pha
