,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
hsa-miR-34a-5p,94.3937473277131,0.230917822495085,0.237491154929368,0.972321779999606,0.3308904918266,0.656296610860494,FALSE,hsa-miR-34a-5p,hsa
pal-miR-450a-2-3p,0.491867424177949,-0.87307953438538,0.908896493814862,-0.960592917154791,0.336756891368682,NA,FALSE,pal-miR-450a-2-3p,pal
pal-miR-126-3p,198.903083482684,-0.170776664341589,0.177846620825084,-0.960246888860209,0.336930973289877,0.664605601159703,FALSE,pal-miR-126-3p,pal
hsa-miR-4510,3.57507124703159,0.365114852480987,0.384591161848787,0.949358406277006,0.342438357359008,0.66481419492244,FALSE,hsa-miR-4510,hsa
efu-miR-218b,0.964200615335256,0.649609498085981,0.68661608315717,0.94610294460184,0.344096082038461,0.66481419492244,FALSE,efu-miR-218b,efu
pha-miR-1034,3.2908664938989,-0.409308552261683,0.433160402728005,-0.944935293447634,0.344691911738799,0.66481419492244,FALSE,pha-miR-1034,pha
efu-miR-185,7974.39218564523,-0.114049745309653,0.121202611890178,-0.940984220810307,0.346712945451109,0.66481419492244,FALSE,efu-miR-185,efu
hsa-miR-185-5p,7974.39218564523,-0.114049745309653,0.121202611890178,-0.940984220810307,0.346712945451109,0.66481419492244,FALSE,hsa-miR-185-5p,hsa
pal-miR-99a-3p,6.05785049710458,-0.24387738743007,0.259945125319763,-0.938187962286551,0.348147823524843,0.66481419492244,FALSE,pal-miR-99a-3p,pal
pha-miR-1048,1.77122140183655,0.478998071156998,0.512586680880988,0.934472332238013,0.350060301487249,0.66492935573504,FALSE,pha-miR-1048,pha
mmu-miR-202-5p,11.994108126368,-0.310809925844278,0.33757813996692,-0.920705131779963,0.357204396205291,0.674928306514207,FALSE,mmu-miR-202-5p,mmu
hsa-miR-183-5p,0.858989161984261,0.842267087162052,0.923808821855813,0.911733106715788,0.361909231574863,NA,FALSE,hsa-miR-183-5p,hsa
hsa-miR-432-5p,0.798332303371962,0.810996515369305,0.896911128319956,0.904210561963278,0.365883760715977,NA,FALSE,hsa-miR-432-5p,hsa
pal-miR-432-5p,0.798332303371962,0.810996515369305,0.896911128319956,0.904210561963278,0.365883760715977,NA,FALSE,pal-miR-432-5p,pal
hsa-miR-130b-5p,8.86769918613589,0.213728787292798,0.237086407044155,0.901480561274833,0.367332864662147,0.67661196054857,FALSE,hsa-miR-130b-5p,hsa
mmu-miR-130b-5p,8.86769918613589,0.213728787292798,0.237086407044155,0.901480561274833,0.367332864662147,0.67661196054857,FALSE,mmu-miR-130b-5p,mmu
hsa-miR-20b-5p,191.458772177378,-0.161526167466349,0.179595333958565,-0.899389554873487,0.36844520081714,0.67661196054857,FALSE,hsa-miR-20b-5p,hsa
mmu-let-7k,4.48233872021966,0.33834214011715,0.377415600692093,0.896470997745479,0.370001263248535,0.67661196054857,FALSE,mmu-let-7k,mmu
pha-miR-1062,0.894460240504965,0.592025697857637,0.668366287083449,0.885780311333566,0.375735921359888,0.67661196054857,FALSE,pha-miR-1062,pha
pal-miR-599-3p,18.4025106010928,-0.21318543786108,0.241238730777684,-0.883711488506971,0.376851976997955,0.67661196054857,FALSE,pal-miR-599-3p,pal
hsa-miR-330-5p,114.147067307279,0.0881904742455353,0.0998530872041061,0.883202279617738,0.377126990153748,0.67661196054857,FALSE,hsa-miR-330-5p,hsa
pal-miR-330-5p,114.147067307279,0.0881904742455353,0.0998530872041061,0.883202279617738,0.377126990153748,0.67661196054857,FALSE,pal-miR-330-5p,pal
efu-miR-182,1.39433629738716,-0.571048306305274,0.648284684367479,-0.880860399875769,0.378393383366256,0.67661196054857,FALSE,efu-miR-182,efu
hsa-miR-182-5p,1.39433629738716,-0.571048306305274,0.648284684367479,-0.880860399875769,0.378393383366256,0.67661196054857,FALSE,hsa-miR-182-5p,hsa
hsa-miR-100-5p,148.411055162858,-0.190789538160232,0.216791740705502,-0.880059072081567,0.378827309387918,0.67661196054857,FALSE,hsa-miR-100-5p,hsa
pal-miR-150-5p,229.693130665651,0.20722504841513,0.239032207880698,0.866933582936055,0.385978401621535,0.682940278958131,FALSE,pal-miR-150-5p,pal
efu-miR-15,100317.063269683,0.0965615786674245,0.111429045287083,0.866574584917651,0.38617514381198,0.682940278958131,FALSE,efu-miR-15,efu
pha-miR-1006,118.151759149367,0.141078385505576,0.166412209024799,0.847764634171473,0.396569062481573,0.697883791327867,FALSE,pha-miR-1006,pha
pha-miR-1042,2.73113646440705,-0.379521191200717,0.450049247127174,-0.843288137072414,0.399067315807304,0.698854470121084,FALSE,pha-miR-1042,pha
hsa-miR-505-5p,733.59833508444,0.194338206558902,0.233348637922272,0.832823402310304,0.404944334233411,0.702294763235723,FALSE,hsa-miR-505-5p,hsa
mmu-miR-505-5p,733.59833508444,0.194338206558902,0.233348637922272,0.832823402310304,0.404944334233411,0.702294763235723,FALSE,mmu-miR-505-5p,mmu
pal-miR-194b-5p,5470.85437005493,-0.131275274371039,0.15853226685485,-0.828066594740823,0.40763278652438,0.703558511356983,FALSE,pal-miR-194b-5p,pal
hsa-miR-196b-5p,49.1099291864586,0.140662657204714,0.171749224741897,0.819000245364136,0.412786273597186,0.709044364695645,FALSE,hsa-miR-196b-5p,hsa
hsa-miR-885-5p,0.472993523861965,-0.935970593155016,1.14829137575884,-0.815098513246683,0.415015922609709,NA,FALSE,hsa-miR-885-5p,hsa
mmu-miR-3962,10.9475092400275,-0.201767362976123,0.249916230670371,-0.807339973217849,0.419470640057758,0.717095046574929,FALSE,mmu-miR-3962,mmu
pal-miR-338-3p,203.532523572586,-0.245777467456707,0.312651990557306,-0.786105557871566,0.431805648491895,0.734383971745809,FALSE,pal-miR-338-3p,pal
pha-miR-1068,0.529336013936581,-0.759232224181184,0.969452551137631,-0.783155630763199,0.433535726301662,NA,FALSE,pha-miR-1068,pha
efu-miR-194,9805.70212482269,-0.123461009807773,0.157693392952671,-0.782918088678755,0.433675214512845,0.734383971745809,FALSE,efu-miR-194,efu
pal-miR-28-5p,1071.19394948296,-0.0582527420238956,0.0753762491565585,-0.772826224118729,0.439625231269586,0.740964591670335,FALSE,pal-miR-28-5p,pal
pha-miR-1045,2.43168734066057,-0.326304251294354,0.424342719422118,-0.76896394437667,0.441914715111483,0.741342909930012,FALSE,pha-miR-1045,pha
pha-miR-1064,0.599225741025056,-0.674998518158676,0.879104951923014,-0.767824725230063,0.442591323088348,NA,FALSE,pha-miR-1064,pha
hsa-miR-532-5p,447.180799338399,-0.0761378179229517,0.100748836621148,-0.7557190780203,0.449817643150095,0.748140016714288,FALSE,hsa-miR-532-5p,hsa
hsa-miR-28-5p,1075.57934790847,-0.0568402951267773,0.0754632162996286,-0.753218560167003,0.451318587966434,0.748140016714288,FALSE,hsa-miR-28-5p,hsa
efu-miR-28,1075.84894279025,-0.0567032400817293,0.0755346469293664,-0.750691800211277,0.452838158980355,0.748140016714288,FALSE,efu-miR-28,efu
efu-miR-532,448.918037157275,-0.0748318710456368,0.100614840531995,-0.74374585945739,0.457030239666256,0.748140016714288,FALSE,efu-miR-532,efu
hsa-miR-378d,1.00079525223129,0.668119424824297,0.898683840045713,0.743442126199033,0.457214047808638,0.748140016714288,FALSE,hsa-miR-378d,hsa
efu-miR-149,1.75062784169132,0.404390173819761,0.545464669610713,0.74136822483547,0.458470205228812,0.748140016714288,FALSE,efu-miR-149,efu
pha-miR-1063,0.515121221686618,-0.712681065091033,0.979593363385415,-0.727527453460945,0.466902903838372,NA,FALSE,pha-miR-1063,pha
pha-miR-1011,70.8136484285603,0.201754247610977,0.277805831095176,0.726241946814487,0.467690461137032,0.75445271085602,FALSE,pha-miR-1011,pha
hsa-miR-93-5p,46100.4080216151,0.0668849395806369,0.0922935892266577,0.724697567199154,0.468637587937594,0.75445271085602,FALSE,hsa-miR-93-5p,hsa
efu-miR-93,46100.647902463,0.0668838518901073,0.0922932795316616,0.724688213806104,0.468643327356247,0.75445271085602,FALSE,efu-miR-93,efu
hsa-miR-32-5p,45.8252120469593,-0.209382662171494,0.290326934796393,-0.7211961312454,0.470788851745271,0.754523204359608,FALSE,hsa-miR-32-5p,hsa
hsa-miR-582-5p,2.34971704839019,-0.314868711605434,0.441435269183385,-0.713283993342699,0.475670040322163,0.758957975447363,FALSE,hsa-miR-582-5p,hsa
hsa-miR-24-1-5p,4.44232076088542,0.23689294237434,0.33719834778465,0.702532927372558,0.482346874570767,0.759996754679964,FALSE,hsa-miR-24-1-5p,hsa
mmu-miR-24-1-5p,4.44232076088542,0.23689294237434,0.33719834778465,0.702532927372558,0.482346874570767,0.759996754679964,FALSE,mmu-miR-24-1-5p,mmu
mmu-miR-106a-5p,18.7034940316327,-0.209410419077802,0.299177430873203,-0.699953931907898,0.483956074795944,0.759996754679964,FALSE,mmu-miR-106a-5p,mmu
pha-miR-1026,17.0062094916818,-0.619207845774119,0.886328907128557,-0.698620840180164,0.484789016216467,0.759996754679964,FALSE,pha-miR-1026,pha
pal-miR-199-3p,245.439375762645,0.105650163697798,0.152251991337751,0.693916465522128,0.48773459700065,0.761290088361884,FALSE,pal-miR-199-3p,pal
pal-miR-32-5p,43.1021440410037,-0.206015345193902,0.30075087221893,-0.685003317443197,0.493341827573024,0.766708727700068,FALSE,pal-miR-32-5p,pal
pal-miR-339a-5p,50.3122703346107,-0.108039515075957,0.162360145417708,-0.665431253452016,0.505774700594483,0.78264274790267,FALSE,pal-miR-339a-5p,pal
pal-miR-339a-3p,1.64347637581902,-0.348751722094277,0.529469850646179,-0.658680983758852,0.510100646779201,0.785507272063714,FALSE,pal-miR-339a-3p,pal
pal-miR-194a-5p,367.299211417394,-0.0942344796601716,0.143947438616288,-0.654645060488828,0.512696305144934,0.785507272063714,FALSE,pal-miR-194a-5p,pal
pha-miR-1033,5.80149391104604,0.211924566150738,0.324874550410477,0.652327385703105,0.51418999703335,0.785507272063714,FALSE,pha-miR-1033,pha
pha-miR-1059,0.581909259489413,-0.583639227495911,0.897840385230356,-0.650047867189855,0.51566130253423,NA,FALSE,pha-miR-1059,pha
mmu-miR-28b,0.648709403163801,0.559824652011731,0.875943335920334,0.639110578338421,0.52275099875303,NA,FALSE,mmu-miR-28b,mmu
hsa-miR-7977,4.56834743284229,0.212208541162375,0.332339524426573,0.638529351958739,0.523129153495724,0.787054992628608,FALSE,hsa-miR-7977,hsa
pal-miR-26b-5p,79197.8013989695,0.0614778880899434,0.0964190664449418,0.637611318556472,0.52372672594235,0.787054992628608,FALSE,pal-miR-26b-5p,pal
hsa-miR-26b-5p,79225.606745188,0.0614322866349787,0.0964037244710218,0.637239764045058,0.523968680170953,0.787054992628608,FALSE,hsa-miR-26b-5p,hsa
efu-miR-26b,79225.6242867619,0.0614316337550449,0.0964035974125471,0.637233831556679,0.523972543839101,0.787054992628608,FALSE,efu-miR-26b,efu
