"","BatProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"371","XP_045673679","SOWAHD",59.6165399800059,0.225687455135699,0.0659072744304076,3.42431783268485,0.000616344908221073,0.00181318493825843,TRUE,"3JBGK","SOWAHD","SOWAHD_3JBGK"
"378","XP_045673697","NUP133",66.1880557456982,0.375067146247253,0.0647367730887728,5.793726322023,6.88416074153308e-09,3.52970096479053e-08,TRUE,"3J24V","NUP133","NUP133_3J24V"
"393","XP_045673758","LOC123805322",0.181562279838647,0.0264082193570903,3.01538751063506,0.00875781943911036,0.993012360407978,NA,FALSE,"3JCU7","Olfr556","Olfr556_3JCU7"
"396","XP_045673765","CHRNA10",0.264626394387392,0.127027509686067,2.71256256511281,0.0468293381763103,0.962649246194237,NA,FALSE,"3J750","CHRNA10","CHRNA10_3J750"
"398","XP_045673768","ADSS2",119.305607630831,-0.833128091871441,0.0756844386164965,-11.0079179696769,3.49998450706507e-28,4.65300593712888e-27,TRUE,"3JFRF","ADSS","ADSS_3JFRF"
"421","XP_045673885","TFB2M",29.2188509219905,0.22267943297934,0.0993234865216451,2.24196150153078,0.0249638605772065,0.0536594150200231,FALSE,"3J38U","TFB2M","TFB2M_3J38U"
"426","XP_045673922","ARHGAP42",1.62964959574631,0.607551932494325,0.43106860611427,1.4094089058605,0.158714292158949,0.262034588753574,FALSE,"3J4WJ","ARHGAP42","ARHGAP42_3J4WJ"
"433","XP_045673962","PHOX2A",0.176088282451131,0.80907489657757,3.0151701820563,0.268334736590487,0.788441670375906,NA,FALSE,"3JEGD","PHOX2A","PHOX2A_3JEGD"
"441","XP_045673994","RNF169",187.225649864425,-0.179418957739569,0.0497157020881753,-3.60889920495045,0.00030749904741696,0.000945738006375622,TRUE,"3JQ99","RNF169","RNF169_3JQ99"
"443","XP_045673997","PANX1",25.5712859379567,0.269162383244316,0.111287408511343,2.41862387528667,0.0155793399617662,0.0353200731910346,TRUE,"3J446","PANX1","PANX1_3J446"
"445","XP_045674013","TRPC6",19.0971099243908,-1.55359247363169,0.139816100061323,-11.1116850845524,1.10062687765445e-28,1.49292307355617e-27,TRUE,"3J9X3","TRPC6","TRPC6_3J9X3"
"448","XP_045674020","MMP1",502.931037993526,-1.61936703396761,0.0579995716738198,-27.9203274650832,1.51177272472433e-171,4.57325511235946e-169,TRUE,"3JADJ","MMP1","MMP1_3JADJ"
"457","XP_045674049","FUT4",0.460411529469267,0.120480779968786,1.18611012130382,0.101576386378314,0.919092923424137,NA,FALSE,"3JBJ5","FUT4","FUT4_3JBJ5"
"466","XP_045674072","VSTM5",4.5721078777912,-0.495660754509065,0.216536982633236,-2.28903510375685,0.0220773128625948,0.0480931463486388,TRUE,"3J913","VSTM5","VSTM5_3J913"
"467","XP_045674076","RAB38",8.57726592826616,-0.907708121678307,0.176219211077701,-5.15101682800106,2.59077938622827e-07,1.16287698486556e-06,TRUE,"3J5V8","RAB38","RAB38_3J5V8"
"468","XP_045674078","NEU3",44.647036820075,0.0229444649198864,0.0796864572754763,0.287934307840632,0.773397024615644,0.856049326590447,FALSE,"3J22Q","NEU3","NEU3_3J22Q"
"469","XP_045674082","DDIAS",3.30816899273224,0.094186225936184,0.244610835136611,0.385045191819007,0.700203933679826,0.80222735948897,FALSE,"3J5H9","DDIAS","DDIAS_3J5H9"
"478","XP_045674098","ENDOD1",5134.55328014136,-0.244736175565657,0.0496732573568188,-4.92692020995601,8.35358469190511e-07,3.55448575810283e-06,TRUE,"3JEWC","ENDOD1","ENDOD1_3JEWC"
"480","XP_045674101","RNF121",22.562448855017,-0.489839937235554,0.102150605552182,-4.79527198676595,1.62454259107416e-06,6.70432210107903e-06,TRUE,"3J7CY","RNF121","RNF121_3J7CY"
"482","XP_045674106","UVRAG",99.9748750063666,0.4800478719899,0.0594779829889555,8.07101801147225,6.97144307788989e-16,5.45234862769798e-15,TRUE,"3J5IY","UVRAG","UVRAG_3J5IY"
"493","XP_045674149","RGS1",216.184658199457,4.2451468108415,0.103990950055195,40.8222716360252,0,0,TRUE,"3J65I","RGS1","RGS1_3J65I"
"508","XP_045674206","CTSC",961.224548443487,0.17815063069279,0.0551634586554869,3.22950436819774,0.001240049869978,0.00348191235820617,TRUE,"3JCPB","CTSC","CTSC_3JCPB"
"512","XP_045674212","TSNAX",85.4105205571209,0.102136734341386,0.0544504272878948,1.87577470790744,0.0606862223668818,0.116385431005767,FALSE,"3JC21","TSNAX","TSNAX_3JC21"
"513","XP_045674213","TMEM123",715.600786489068,-0.0634646768770817,0.0502693786655703,-1.26249177057263,0.206771885668522,0.322990417276248,FALSE,"3JGJ7","TMEM123","TMEM123_3JGJ7"
"527","XP_045674259","TPBGL",0.0205271986673529,0.115211090926711,3.01751889984184,0.0381807354819716,0.969543580553683,NA,FALSE,"3JDYA","TPBGL","TPBGL_3JDYA"
"532","XP_045674294","MAP6",0.287669498608661,0.338557262104306,2.39976403282105,0.141079396754819,0.887807219854767,NA,FALSE,"3J2E1","MAP6","MAP6_3J2E1"
"534","XP_045674296","RBM34",50.6670334857237,-0.133543746404204,0.0702772355096731,-1.90024188395719,0.0574013840995082,0.110841429756403,FALSE,"3J1KR","RBM34","RBM34_3J1KR"
"536","XP_045674303","TSKU",2.94943203412602,1.04808351341025,0.384849720573531,2.72335786511243,0.0064622015655231,0.0159741717082997,TRUE,"3J2SY","TSKU","TSKU_3J2SY"
"537","XP_045674307","TMEM126B",7.10017831382362,-0.234033366700741,0.18101519393021,-1.29289349484648,0.196047897706034,0.30968154195389,FALSE,"3J7D4","TMEM126B","TMEM126B_3J7D4"
"538","XP_045674308","POLD3",82.1470508994868,0.21602274111615,0.0613992780923176,3.51832705249964,0.000434276784184555,0.00131051377391887,TRUE,"3JCPF","POLD3","POLD3_3JCPF"
"539","XP_045674309","MAP10",4.27432231932513,-0.0163060383949342,0.22766495310035,-0.0716229624844665,0.942901965582966,0.966469718181934,FALSE,"3J6RS","MAP10","MAP10_3J6RS"
"545","XP_045674334","CMTM4",23.818172065015,1.09207620879377,0.118301764548314,9.23127573763085,2.67427523716993e-20,2.54763249420948e-19,TRUE,"3J56C","CMTM4","CMTM4_3J56C"
"546","XP_045674336","CMTM3",74.261069272225,-0.321766186243781,0.0627924219368743,-5.12428373231494,2.98670941625279e-07,1.33164382844218e-06,TRUE,"3J94J","CMTM3","CMTM3_3J94J"
"553","XP_045674366","GLG1",556.108876533945,-0.278470397937555,0.043205056559846,-6.4453196016959,1.15357064917063e-10,6.74023258679035e-10,TRUE,"3JB4C","GLG1","GLG1_3JB4C"
"561","XP_045674394","CENPT",5.02869983196214,-0.192672590478264,0.222274438106025,-0.866822978476544,0.386039009814404,0.522221012854737,FALSE,"3JFIX","CENPT","CENPT_3JFIX"
"569","XP_045674419","SMPD3",3.65895946751487,0.266794208740335,0.25121030767362,1.06203527717884,0.288219670539652,0.417808642325048,FALSE,"3J7XM","SMPD3","SMPD3_3J7XM"
"572","XP_045674432","ZCCHC14",127.529985876814,-0.0833384213575611,0.0614195792254658,-1.35687060068636,0.17482232971006,0.282667044397075,FALSE,"3J7FI","ZCCHC14","ZCCHC14_3J7FI"
"578","XP_045674449","KLHL36",53.7719785483249,-0.0987730057325781,0.0673978614838214,-1.46552136162789,0.142778728615808,0.239929918865659,FALSE,"3JE8M","KLHL36","KLHL36_3JE8M"
"579","XP_045674451","N4BP1",422.374959908845,2.66337424424824,0.108862882224785,24.4654026222526,3.45062177666537e-132,6.14709099391954e-130,TRUE,"3JESP","N4BP1","N4BP1_3JESP"
"580","XP_045674452","SNTB2",164.971966746292,-0.179293850528091,0.0518221662474365,-3.45979073263769,0.00054059533918545,0.0016021007528947,TRUE,"3J3N7","SNTB2","SNTB2_3J3N7"
"582","XP_045674460","ATMIN",41.4231407096606,-0.200081353064384,0.0740847657599762,-2.70070845216166,0.00691919625257035,0.0170016051367755,TRUE,"3JATC","ATMIN","ATMIN_3JATC"
"588","XP_045674480","COG4",42.3184929289666,0.555472068602257,0.0765988687904083,7.251700676183,4.11570654213721e-13,2.79251472662234e-12,TRUE,"3J9MG","COG4","COG4_3J9MG"
"599","XP_045674511","NIP7",26.1820307510142,0.175468918931536,0.0950626374772184,1.84582422272459,0.0649177322756454,0.12327679753351,FALSE,"3J8MQ","NIP7","NIP7_3J8MQ"
"613","XP_045674558","RNF166",161.537226227969,-0.262617086144281,0.0725136688075962,-3.62162183299668,0.000292761873143219,0.000903457628826894,TRUE,"3J6II","RNF166","RNF166_3J6II"
"618","XP_045674576","LPCAT2",108.113124651573,-0.13017316974001,0.0681009847989222,-1.91147264792668,0.0559438685355511,0.108287823763189,FALSE,"3J3AQ","LPCAT2","LPCAT2_3J3AQ"
"619","XP_045674577","CAPNS2",3.80072950773019,-0.667989819456485,0.24435159960242,-2.73372394755491,0.00626225218919118,0.0155398064307851,TRUE,"3J42M","CAPNS2","CAPNS2_3J42M"
"620","XP_045674584","NOB1",27.1131114356897,0.308710721635232,0.0928737643535722,3.32398200701723,0.000887419212570393,0.00254662470648669,TRUE,"3JAWH","NOB1","NOB1_3JAWH"
"621","XP_045674585","NQO1",254.637164541337,-0.135397787859756,0.0477364563117497,-2.83636026468998,0.00456309412680818,0.0115979848026499,TRUE,"3JCXG","NQO1","NQO1_3JCXG"
"631","XP_045674624","ITFG1",138.690490515937,-0.0176907778149115,0.0533112860879822,-0.331839261684956,0.74001063595717,0.831902294650211,FALSE,"3J96J","ITFG1","ITFG1_3J96J"
"641","XP_045674689","AMFR",572.651610534728,0.0836950881096161,0.0614056763712959,1.36298617742674,0.172886866970645,0.280083788202092,FALSE,"3J85S","AMFR","AMFR_3J85S"
"644","XP_045674693","NUDT19",13.7876586642769,-0.179872502659481,0.124930356775215,-1.43978218987338,0.149929031558947,0.249824585635481,FALSE,"3JEGN","NUDT19","NUDT19_3JEGN"
"645","XP_045674694","LOC123805892",0.342330043628776,0.244309403814612,1.73009431114558,0.141211610396454,0.88770277421614,NA,FALSE,"3J2JW","PLLP","PLLP_3J2JW"
"649","XP_045674698","POLR2C",22.5905026065477,-0.00499149140667125,0.0951560754145276,-0.0524558351626721,0.958165485289438,0.976373917989422,FALSE,"3J6YH","POLR2C","POLR2C_3J6YH"
