"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"SLC27A5",9.14649577437105,-0.0223286708156205,0.158673307641162,-0.140721027043292,0.888090333212425,0.933563079996471,FALSE,"solute carrier family 27 member 5;transcript_id=XM_045848901.1",NA,NA
"LOC123818949",0.235960449340495,-0.411798035556714,2.92642611322837,-0.140717045168254,0.888093478988257,NA,FALSE,"uncharacterized LOC123818949;transcript_id=XR_006785728.1",NA,NA
"LOC123811322",0.0710816813092021,-0.41158881657124,2.9299339932383,-0.140477163485971,0.888282994463251,NA,FALSE,"uncharacterized LOC123811322;transcript_id=XM_045827289.1",NA,NA
"PRSS57",0.347899168086613,-0.20788049423834,1.48159638542633,-0.140308451264561,0.888416287235973,NA,FALSE,"serine protease 57;transcript_id=XM_045830830.1",NA,NA
"ZMYND8",609.422138385356,-0.00625884458579053,0.0446308145599783,-0.140235947909474,0.888473570204147,0.933904555259607,FALSE,"zinc finger MYND-type containing 8%2C transcript variant X6;transcript_id=XM_045832830.1",NA,NA
"RNASE13",0.108634248096026,-0.410612318985185,2.92895317022316,-0.140190810546111,0.888509232325926,NA,FALSE,"ribonuclease A family member 13 (inactive);transcript_id=XM_045823365.1",NA,NA
"LOC123828592",0.416935288576582,0.23928203962351,1.70690304214824,0.140184904306198,0.888513898743833,NA,FALSE,"phytanoyl-CoA hydroxylase-interacting protein","PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein"
"LOC123832607",0.195932893459522,-0.410380239122588,2.92744026141806,-0.140183984121267,0.888514625766365,NA,FALSE,"uncharacterized LOC123832607;transcript_id=XR_006788098.1",NA,NA
"LOC123831397",0.0971464442957322,-0.410435502814169,2.92973957236782,-0.140092828279086,0.888586646918375,NA,FALSE,"small nucleolar RNA U13;transcript_id=XR_006787918.1",NA,NA
"LOC123820657",0.0812315901937299,0.409785009334951,2.9287577619067,0.139917686148332,0.888725027223646,NA,FALSE,"uncharacterized LOC123820657%2C transcript variant X3;transcript_id=XM_045841544.1",NA,NA
"LOC123806152",0.0588656667698177,-0.409273700996125,2.92989412652718,-0.1396889045548,0.88890579333134,NA,FALSE,"uncharacterized LOC123806152;transcript_id=XR_006783429.1",NA,NA
"LOC123820822",0.0706721172457568,-0.408893615228688,2.92988852067995,-0.139559444785222,0.889008085320733,NA,FALSE,"U1 spliceosomal RNA;transcript_id=XR_006786026.1",NA,NA
"LOC123814219",0.144516385254737,-0.408614602366287,2.92830888319269,-0.139539447054773,0.889023886592257,NA,FALSE,"U2 spliceosomal RNA;transcript_id=XR_006784849.1",NA,NA
"PYM1",6.47867127360171,-0.0251574663797218,0.180325653984415,-0.139511299828121,0.889046127289322,0.934404398391537,FALSE,"PYM homolog 1%2C exon junction complex associated factor%2C transcript variant X1;transcript_id=XM_045829358.1",NA,NA
"LOC123805729",0.934959421102013,-0.0789793659382919,0.566216287434997,-0.139486213468133,0.889065949498157,0.934404398391537,FALSE,"uncharacterized LOC123805729;transcript_id=XR_006783360.1",NA,NA
"LOC123807448",0.14663212867535,0.408259796959025,2.92848813524832,0.13940974936694,0.889126368710687,NA,FALSE,"uncharacterized LOC123807448;transcript_id=XR_006783653.1",NA,NA
"LOC123805683",4.9594634070311,0.0300954076513566,0.215905098627846,0.139391833924366,0.889140524949204,0.934421370450297,FALSE,"small nucleolar RNA SNORA18;transcript_id=XR_006783344.1",NA,NA
"CHRD",0.252847176763465,0.407356633730712,2.92642270787146,0.139199519138164,0.889292488477108,NA,FALSE,"chordin%2C transcript variant X5;transcript_id=XR_006787173.1",NA,NA
"LOC123829625",9.4630632316598,0.0245913281221236,0.176710852865187,0.139161391184527,0.889322616952539,0.934551324851958,FALSE,"small nucleolar RNA SNORD22;transcript_id=XR_006787628.1",NA,NA
"ZNF783",0.259753763372674,0.361504435917244,2.60302042300104,0.138878831961089,0.889545898499486,NA,FALSE,"zinc finger protein 783;transcript_id=XM_045833552.1",NA,NA
"LOC123814998",0.0636262580683619,-0.406673114920909,2.92986352347369,-0.138802750251913,0.889606020638779,NA,FALSE,"","WFDC11","WAP four-disulfide core domain 11"
"EFHD1",0.378271270369789,0.221938100890348,1.59905994993627,0.138792858203468,0.889613837690605,NA,FALSE,"EF-hand domain family member D1;transcript_id=XM_045845859.1",NA,NA
"LOC123813632",0.154515452033848,-0.406109904843354,2.92741805604933,-0.138726310034248,0.88966642672207,NA,FALSE,"uncharacterized LOC123813632;transcript_id=XR_006784790.1",NA,NA
"PEX13",42.0993755710154,0.0114515730949244,0.0825890988036298,0.138657198841127,0.889721041671689,0.93490858209299,FALSE,"peroxisomal biogenesis factor 13;transcript_id=XM_045827973.1",NA,NA
"ZGLP1",0.083375148179259,0.405967425400279,2.92948116205514,0.138579974726814,0.889782068456351,NA,FALSE,"zinc finger GATA like protein 1;transcript_id=XM_045853703.1",NA,NA
"CLP1",18.1568924483712,0.0174362398427458,0.125906884454676,0.138485198154692,0.889856967060746,0.934989979252514,FALSE,"cleavage factor polyribonucleotide kinase subunit 1%2C transcript variant X1;transcript_id=XM_045858322.1",NA,NA
"LOC123820508",0.300800141581668,-0.388805838919232,2.80789336428993,-0.138468876298497,0.889869865751096,NA,FALSE,"uncharacterized LOC123820508;transcript_id=XR_006785979.1",NA,NA
"SOX9",0.398572915122898,0.286832994623426,2.07200208363802,0.13843277325272,0.889898397046358,NA,FALSE,"SRY-box transcription factor 9;transcript_id=XM_045837452.1",NA,NA
"ADRB1",3.92909294278454,0.0339720401435581,0.245492257502046,0.138383346543119,0.889937457916802,0.935013123404508,FALSE,"adrenoceptor beta 1;transcript_id=XM_045854500.1",NA,NA
"EDA",0.247719290158355,0.362558589001777,2.6203748941409,0.138361342803448,0.889954847087146,NA,FALSE,"ectodysplasin A%2C transcript variant X4;transcript_id=XM_045847439.1",NA,NA
"POU4F1",0.142674789099522,0.405076995086965,2.92861782677086,0.138316782539567,0.889990062445934,NA,FALSE,"POU class 4 homeobox 1;transcript_id=XM_045839230.1",NA,NA
"CATSPERD",0.0575524016645233,-0.404991944627048,2.92981953238074,-0.138231020768012,0.890057839395847,NA,FALSE,"cation channel sperm associated auxiliary subunit delta;transcript_id=XM_045831359.1",NA,NA
"LOC123827605",0.0550511967458958,-0.404472696315198,2.92980674330813,-0.138054394624847,0.890197428376979,NA,FALSE,"U6 spliceosomal RNA;transcript_id=XR_006787265.1",NA,NA
"LOC123829287",3.13356027373303,-0.04608626784803,0.333834933624731,-0.138051064182026,0.89020006048392,0.935194831491503,FALSE,"4F2 cell-surface antigen heavy chain-like;transcript_id=XM_045854808.1",NA,NA
"IL20RA",0.593488518551133,0.113319071486678,0.821054367327485,0.138016526062128,0.890227356632692,0.935194831491503,FALSE,"interleukin 20 receptor subunit alpha%2C transcript variant X1;transcript_id=XM_045843427.1",NA,NA
"LOC123821308",0.0525168218254122,-0.404150963272175,2.92980604326779,-0.13794461384256,0.890284190677743,NA,FALSE,"small integral membrane protein 30-like;transcript_id=XM_045842573.1",NA,NA
"METTL27",0.052061075766408,-0.404090710551081,2.92979942591851,-0.137924359932727,0.890300197956468,NA,FALSE,"methyltransferase like 27;transcript_id=XM_045819625.1",NA,NA
"LOC123810231",0.209573314795199,0.403618991369519,2.92646290356149,0.137920419520205,0.890303312189092,NA,FALSE,"U1 spliceosomal RNA;transcript_id=XR_006784200.1",NA,NA
