"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase3.S22","S22",3,"Phase3","Phase3.S22",6053,2023,5,"6053_2023_5","TH","LPS_1","38C",3,"2:51 pm",14.85,"M",6.85,6.85,"Tamana","Rd Chamber","R14",85.64,95.5,2,"H","ST",0.897805917,""
"Phase3.S23","S23",3,"Phase3","Phase3.S23",6115,2023,5,"6115_2023_5","C","PBS","38C",3,"1:42 pm",13.7,"M",5.31,5.31,"Tamana","Rd Chamber","R6",82.85,88,2.5,"H","ST",1.025999756,""
"Phase3.S24","S24",3,"Phase3","Phase3.S24",6115,2023,5,"6115_2023_5","TH","LPS_1","38C",3,"1:42 pm",13.7,"M",5.31,5.31,"Tamana","Rd Chamber","R6",82.85,88,2.5,"H","ST",1.025999756,""
"Phase3.S25","S25",3,"Phase3","Phase3.S25",6129,2023,5,"6129_2023_5","C","PBS","38C",3,"2:34 pm",14.57,"F",NA,1.13,"Tamana","Rd Chamber","R10",82.1,77.5,2,"","NL",0.280251344,""
"Phase3.S26","S26",3,"Phase3","Phase3.S26",6129,2023,5,"6129_2023_5","TH","LPS_1","38C",3,"2:34 pm",14.57,"F",NA,1.13,"Tamana","Rd Chamber","R10",82.1,77.5,2,"","NL",0.280251344,""
"Phase3.S27","S27",3,"Phase3","Phase3.S27",6243,2023,5,"6243_2023_5","C","PBS","38C",3,"1:46 pm",13.77,"M",5.47,5.47,"Tamana","Lg Chamber","L13",82.35,99,2,"B","ST",0.1087546,"NLR IS PREDICTED"
"Phase3.S28","S28",3,"Phase3","Phase3.S28",6243,2023,5,"6243_2023_5","TH","LPS_1","38C",3,"1:46 pm",13.77,"M",5.47,5.47,"Tamana","Lg Chamber","L13",82.35,99,2,"B","ST",0.1087546,"NLR IS PREDICTED"
"Phase3.S29","S29",3,"Phase3","Phase3.S29",6270,2023,5,"6270_2023_5","C","PBS","38C",3,"2:17 pm",14.28,"M",3.63,3.63,"Tamana","Lg Chamber","L12",86.15,95.5,1.5,"B","AT",0.233324111,""
"Phase3.S3","S3",3,"Phase3","Phase3.S3",3990,2023,5,"3990_2023_5","C","PBS","38C",3,"1:52 pm",13.87,"F",12.97,12.97,"Tamana","Rd Chamber","R9",80.44,75,4.5,"","L",0.508004747,""
"Phase3.S30","S30",3,"Phase3","Phase3.S30",6270,2023,5,"6270_2023_5","TH","LPS_1","38C",3,"2:17 pm",14.28,"M",3.63,3.63,"Tamana","Lg Chamber","L12",86.15,95.5,1.5,"B","AT",0.233324111,""
"Phase3.S31","S31",3,"Phase3","Phase3.S31",6271,2023,5,"6271_2023_5","C","PBS","38C",3,"2:10 pm",14.17,"M",3.11,3.11,"Tamana","Lg Chamber","L12",88.9,96.5,2.5,"B","ST",0.605600901,""
"Phase3.S32","S32",3,"Phase3","Phase3.S32",6271,2023,5,"6271_2023_5","TH","LPS_1","38C",3,"2:10 pm",14.17,"M",3.11,3.11,"Tamana","Lg Chamber","L12",88.9,96.5,2.5,"B","ST",0.605600901,""
"Phase3.S4","S4",3,"Phase3","Phase3.S4",3990,2023,5,"3990_2023_5","TH","LPS_1","38C",3,"1:52 pm",13.87,"F",12.97,12.97,"Tamana","Rd Chamber","R9",80.44,75,4.5,"","L",0.508004747,""
"Phase3.S5","S5",3,"Phase3","Phase3.S5",3991,2023,5,"3991_2023_5","C","PBS","38C",3,"1:42 pm",13.7,"F",4.99,5.11,"Tamana","Rd Chamber","R14",81.97,81,3.5,"","EL",-0.06278212,""
"Phase3.S6","S6",3,"Phase3","Phase3.S6",3991,2023,5,"3991_2023_5","TH","LPS_1","38C",3,"1:42 pm",13.7,"F",4.99,5.11,"Tamana","Rd Chamber","R14",81.97,81,3.5,"","EL",-0.06278212,""
