miRNA	2311_C0	2311_TH	3990_C0	3990_TH	4750_C0	4750_TH	4789_C0	4789_TH	6029_C0	6029_TH	6037_C0	6037_TH	6250_C0	6250_TH	6272_C0	6272_TH	6323_C0	6323_TH	6334_C0	6334_TH	6342_C0	6342_TH	6383_C0	6383_TH	6417_C0	6417_TH	6421_C0	6421_TH	6422_C0	6422_TH	6435_C0	6435_TH	6439_C0	6439_TH	6440_C0	6440_TH	6446_C0	6446_TH	6447_C0	6447_TH
efu-miR-219	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-221	21.00	30.00	40.00	22.00	46.00	37.00	49.00	33.00	54.00	54.00	56.00	39.00	76.00	39.00	28.00	29.00	73.00	64.00	70.00	35.00	34.00	26.00	52.00	66.00	81.00	89.00	44.00	39.00	28.00	18.00	12.00	16.00	56.00	25.00	61.00	53.00	18.00	44.00	35.00	32.00
efu-miR-222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-26a	16415.00	17915.00	22946.00	13697.00	41688.00	28052.00	37206.00	22363.00	39330.00	37733.00	44942.00	38866.00	41365.00	28969.00	33636.00	19781.00	42229.00	50793.00	39688.00	29610.00	37591.00	24148.00	30129.00	34647.00	45237.00	41710.00	42664.00	37526.00	26697.00	26721.00	17556.00	20777.00	42643.00	30159.00	64213.00	42708.00	7904.00	27073.00	26476.00	31899.00
efu-miR-26b	39419.00	40914.00	45687.00	32828.00	79259.00	59528.00	112833.00	72082.00	122749.00	124777.00	92361.00	86045.00	130788.00	85328.00	101885.00	55232.00	88094.00	92159.00	120211.00	92925.00	81987.00	56615.00	74982.00	99282.00	123833.00	96489.00	138018.00	119496.00	63656.00	65456.00	56455.00	54618.00	122366.00	86355.00	190701.00	124402.00	12013.00	44197.00	72536.00	83002.00
efu-miR-26c	16423.00	17916.00	22954.00	13699.00	41704.00	28054.00	37205.00	22368.00	39328.00	37744.00	44961.00	38892.00	41366.00	28981.00	33656.00	19787.00	42247.00	50802.00	39740.00	29638.00	37600.00	24145.00	30140.00	34648.00	45252.00	41726.00	42687.00	37549.00	26709.00	26727.00	17553.00	20775.00	42643.00	30161.00	64239.00	42739.00	7904.00	27087.00	26490.00	31920.00
efu-miR-27a	2.00	1.00	2.00	0.00	6.00	3.00	3.00	3.00	6.00	6.00	2.00	3.00	4.00	1.00	3.00	1.00	2.00	3.00	5.00	4.00	3.00	0.00	0.00	1.00	0.00	3.00	7.00	2.00	1.00	2.00	2.00	1.00	6.00	10.00	4.00	2.00	0.00	3.00	2.00	6.00
efu-miR-28	532.00	569.00	840.00	493.00	1241.00	703.00	1778.00	1023.00	1854.00	1526.00	1219.00	1054.00	1482.00	1117.00	1340.00	668.00	1074.00	1126.00	1689.00	1153.00	1161.00	735.00	958.00	933.00	1562.00	1329.00	1991.00	1422.00	1144.00	1047.00	496.00	618.00	1933.00	1129.00	2839.00	1508.00	322.00	1059.00	866.00	1141.00
efu-miR-299	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-30b	934.00	956.00	1467.00	785.00	2369.00	1576.00	2141.00	1628.00	4267.00	3484.00	4053.00	3030.00	2130.00	1689.00	1603.00	606.00	2203.00	2695.00	2750.00	2166.00	2593.00	1692.00	1679.00	2935.00	4427.00	3582.00	2628.00	2248.00	1554.00	1455.00	1284.00	1382.00	2481.00	1339.00	3027.00	2520.00	1082.00	2031.00	1486.00	2291.00
efu-miR-33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
efu-miR-335	0.00	1.00	0.00	0.00	1.00	0.00	0.00	3.00	2.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	3.00	5.00	7.00	5.00	5.00	4.00	2.00	0.00	0.00	5.00	1.00	3.00	3.00	2.00	1.00	3.00	0.00
efu-miR-338	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-34a	44.00	59.00	51.00	28.00	128.00	78.00	57.00	58.00	77.00	126.00	155.00	185.00	97.00	95.00	176.00	42.00	82.00	93.00	372.00	274.00	48.00	48.00	34.00	15.00	201.00	249.00	214.00	224.00	45.00	60.00	27.00	59.00	67.00	47.00	102.00	139.00	20.00	107.00	124.00	107.00
efu-miR-361	14665.00	19517.00	19083.00	9475.00	30495.00	22076.00	31780.00	27148.00	27248.00	33785.00	23117.00	25912.00	39492.00	31203.00	23089.00	15020.00	27051.00	32308.00	41150.00	33051.00	25857.00	23596.00	26860.00	21690.00	39176.00	35467.00	38369.00	38197.00	20138.00	26282.00	14876.00	21946.00	43055.00	35637.00	73528.00	45856.00	8556.00	25695.00	21367.00	25875.00
efu-miR-376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-379	0.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	31.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00
efu-miR-383	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-411	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-412	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-423	21994.00	33994.00	49617.00	19344.00	66994.00	42530.00	53229.00	49966.00	40767.00	78584.00	39010.00	50718.00	67299.00	67918.00	39081.00	30745.00	60570.00	88737.00	83084.00	83752.00	45004.00	54959.00	40772.00	14909.00	39711.00	57866.00	55204.00	66325.00	28163.00	41630.00	25660.00	46274.00	76593.00	107558.00	117881.00	87448.00	5981.00	35945.00	31972.00	53310.00
efu-miR-424	4.00	2.00	3.00	0.00	4.00	2.00	27.00	8.00	11.00	1.00	11.00	10.00	9.00	5.00	5.00	4.00	3.00	5.00	22.00	4.00	2.00	0.00	3.00	2.00	7.00	2.00	19.00	5.00	7.00	3.00	0.00	3.00	3.00	1.00	13.00	8.00	3.00	7.00	12.00	22.00
efu-miR-449	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-450	0.00	0.00	7.00	5.00	12.00	12.00	2.00	3.00	8.00	1.00	16.00	5.00	6.00	7.00	2.00	2.00	2.00	0.00	8.00	6.00	0.00	2.00	1.00	5.00	1.00	3.00	13.00	9.00	5.00	2.00	0.00	2.00	5.00	1.00	1.00	5.00	0.00	5.00	6.00	7.00
efu-miR-4667	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-486	1378730.00	2547519.00	4654021.00	1853110.00	3329425.00	2432738.00	3351039.00	2860369.00	3386761.00	4909291.00	3130927.00	3398881.00	3768080.00	3695835.00	2326436.00	2070726.00	3690926.00	5629501.00	5490841.00	4465751.00	3355966.00	2491919.00	3644780.00	2288403.00	4415300.00	5239399.00	3086269.00	4039538.00	1367427.00	1699182.00	1534274.00	2382770.00	4066849.00	5039297.00	6110285.00	5491390.00	1270054.00	2068122.00	2554405.00	3255323.00
efu-miR-487	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
efu-miR-493	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	4.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
