miRNA	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count
efu-miR-7c	229	183	169	79	367	263	343	264	615	817	305	272	375	185	353	143	323	337	622	643	425	200	150	87	384	359	550	362	335	400	173	132	739	303	815	782	168	369	211	222
efu-miR-8908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9-5p	27	13	43	36	69	40	50	38	87	77	102	90	98	57	64	29	101	83	95	65	95	36	29	31	104	60	153	151	98	63	54	31	110	43	148	154	11	47	48	52
efu-miR-9-5p	27	13	43	36	69	40	50	38	87	77	102	90	98	57	64	29	101	83	95	65	95	36	29	31	104	60	153	151	98	63	54	31	110	43	148	154	11	47	48	52
efu-miR-9-5p	27	13	43	36	69	40	50	38	87	77	102	90	98	57	64	29	101	83	95	65	95	36	29	31	104	60	153	151	98	63	54	31	110	43	148	154	11	47	48	52
efu-miR-9186g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-9186m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
