,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA
hsa-miR-324-5p,4062.82458556897,0.111600374559765,0.103973098430135,1.07335816903404,0.283110445417539,0.537241081461629,FALSE,hsa-miR-324-5p
mlu-miR-324-5p,4062.82458556897,0.111600374559765,0.103973098430135,1.07335816903404,0.283110445417539,0.537241081461629,FALSE,mlu-miR-324-5p
mmu-miR-122-5p,21.4860652374799,0.362329165942216,0.339372128026701,1.06764561971839,0.285680397058607,0.537882622586909,FALSE,mmu-miR-122-5p
mmy-can-421,21.4860652374799,0.362329165942216,0.339372128026701,1.06764561971839,0.285680397058607,0.537882622586909,FALSE,mmy-can-421
mmu-miR-3084-5p,2.06507971479327,-0.905613727699545,0.854167919064453,-1.06022915106837,0.289040362170253,0.542091262902965,FALSE,mmu-miR-3084-5p
hsa-miR-29b-1-5p,1.74532772432813,0.639352393642012,0.603572380932869,1.05928040089217,0.289472098076767,NA,FALSE,hsa-miR-29b-1-5p
mlu-miR-29b-1-5p,1.74532772432813,0.639352393642012,0.603572380932869,1.05928040089217,0.289472098076767,NA,FALSE,mlu-miR-29b-1-5p
mmu-miR-29b-1-5p,1.74532772432813,0.639352393642012,0.603572380932869,1.05928040089217,0.289472098076767,NA,FALSE,mmu-miR-29b-1-5p
pha-miR-179,0.599657764813054,0.963520777488518,0.914935499310941,1.05310240799944,0.292294059360143,NA,FALSE,pha-miR-179
hsa-miR-532-5p,447.028958262198,-0.105568666496095,0.100293643114414,-1.05259578990128,0.292526287557515,0.546502599235358,FALSE,hsa-miR-532-5p
mmy-can-396,447.103692011988,-0.105224621130842,0.100294794506199,-1.04915336482731,0.294107538384644,0.547335264484163,FALSE,mmy-can-396
mlu-miR-378A-3p,42.6683390990594,0.213167359090323,0.204543204415826,1.04216299778391,0.297336115072193,0.548383620332299,FALSE,mlu-miR-378A-3p
mlu-miR-532-3p,102.537318927232,0.147482111196168,0.141604380283225,1.04150811508222,0.297639788879715,0.548383620332299,FALSE,mlu-miR-532-3p
mlu-miR-532-5p,448.771073809505,-0.104257182127699,0.10019421926324,-1.04055087104162,0.298084042587266,0.548383620332299,FALSE,mlu-miR-532-5p
hsa-miR-25-5p,149.282785262291,0.205422157384898,0.200554563714993,1.02427067018441,0.305707447228765,0.556041470053829,FALSE,hsa-miR-25-5p
mlu-miR-25-5p,149.282785262291,0.205422157384898,0.200554563714993,1.02427067018441,0.305707447228765,0.556041470053829,FALSE,mlu-miR-25-5p
mmu-miR-25-5p,149.282785262291,0.205422157384898,0.200554563714993,1.02427067018441,0.305707447228765,0.556041470053829,FALSE,mmu-miR-25-5p
pha-miR-139,3.29573299472146,-0.443776989383192,0.434885872307004,-1.02044471352684,0.307517597007335,0.556112374430462,FALSE,pha-miR-139
mlu-miR-363-3p,540.993727982074,-0.126433271776366,0.124037617219522,-1.01931393564748,0.308053950151314,0.556112374430462,FALSE,mlu-miR-363-3p
mmu-miR-202-5p,12.0411708731558,-0.345691344860673,0.342936357281702,-1.00803352435655,0.31343836846614,0.558530973641241,FALSE,mmu-miR-202-5p
rno-miR-202-5p,12.0411708731558,-0.345691344860673,0.342936357281702,-1.00803352435655,0.31343836846614,0.558530973641241,FALSE,rno-miR-202-5p
mmu-miR-3970,16.6101689018192,0.215923103306391,0.2143169097348,1.00749447896378,0.313697209548053,0.558530973641241,FALSE,mmu-miR-3970
mmy-can-390,5486.84906828138,-0.163928007916138,0.162820130082825,-1.00680430504968,0.314028825428997,0.558530973641241,FALSE,mmy-can-390
