gene	description
CCDC141	coiled-coil domain containing 141%2C transcript variant X6;transcript_id=XM_045851466.1
TTN	titin%2C transcript variant X2;transcript_id=XM_045842158.1
TTN	titin%2C transcript variant X1;transcript_id=XM_045842067.1
PLEKHA3	pleckstrin homology domain containing A3;transcript_id=XM_045830826.1
FKBP7	FKBP prolyl isomerase 7%2C transcript variant X1;transcript_id=XM_045825625.1
FKBP7	FKBP prolyl isomerase 7%2C transcript variant X2;transcript_id=XM_045825718.1
PJVK	pejvakin;transcript_id=XM_045830389.1
PRKRA	protein activator of interferon induced protein kinase EIF2AK2%2C transcript variant X1;transcript_id=XM_045860382.1
PRKRA	protein activator of interferon induced protein kinase EIF2AK2%2C transcript variant X2;transcript_id=XM_045860432.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X3;transcript_id=XM_045857496.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X1;transcript_id=XM_045857330.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X5;transcript_id=XM_045857605.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X4;transcript_id=XM_045857556.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X6;transcript_id=XM_045857690.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X7;transcript_id=XM_045857717.1
OSBPL6	oxysterol binding protein like 6%2C transcript variant X2;transcript_id=XM_045857411.1
RBM45	RNA binding motif protein 45%2C transcript variant X2;transcript_id=XR_006785065.1
RBM45	RNA binding motif protein 45%2C transcript variant X3;transcript_id=XM_045833729.1
RBM45	RNA binding motif protein 45%2C transcript variant X1;transcript_id=XM_045833613.1
PDE11A	phosphodiesterase 11A%2C transcript variant X1;transcript_id=XM_045833325.1
PDE11A	phosphodiesterase 11A%2C transcript variant X2;transcript_id=XM_045833394.1
LOC123815494	uncharacterized LOC123815494;transcript_id=XR_006785132.1
LOC123815225	tetratricopeptide repeat protein 30B-like;transcript_id=XM_045833503.1
LOC123831579	tetratricopeptide repeat protein 30B;transcript_id=XM_045858568.1
AGPS	alkylglycerone phosphate synthase;transcript_id=XM_045838437.1
LOC123818829	uncharacterized LOC123818829;transcript_id=XR_006785775.1
NFE2L2	NFE2 like bZIP transcription factor 2%2C transcript variant X1;transcript_id=XM_045850395.1
NFE2L2	NFE2 like bZIP transcription factor 2%2C transcript variant X2;transcript_id=XM_045850470.1
NFE2L2	NFE2 like bZIP transcription factor 2%2C transcript variant X3;transcript_id=XM_045850509.1
