gene	description
LOC123811541	uncharacterized LOC123811541;transcript_id=XR_006784400.1
ANLN	anillin actin binding protein%2C transcript variant X1;transcript_id=XM_045828577.1
ANLN	anillin actin binding protein%2C transcript variant X2;transcript_id=XM_045828578.1
KIAA0895	KIAA0895 ortholog;transcript_id=XM_045828008.1
EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1%2C transcript variant X2;transcript_id=XM_045828560.1
EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1%2C transcript variant X1;transcript_id=XM_045828558.1
SEPTIN7	septin 7%2C transcript variant X2;transcript_id=XM_045827767.1
SEPTIN7	septin 7%2C transcript variant X1;transcript_id=XM_045827766.1
SEPTIN7	septin 7%2C transcript variant X3;transcript_id=XM_045827768.1
SEPTIN7	septin 7%2C transcript variant X4;transcript_id=XM_045827769.1
LOC123812275	small nucleolar RNA SNORA30/SNORA37 family;transcript_id=XR_006784555.1
HERPUD2	HERPUD family member 2%2C transcript variant X1;transcript_id=XM_045828353.1
HERPUD2	HERPUD family member 2%2C transcript variant X3;transcript_id=XM_045828355.1
HERPUD2	HERPUD family member 2%2C transcript variant X2;transcript_id=XM_045828354.1
HERPUD2	HERPUD family member 2%2C transcript variant X4;transcript_id=XM_045828356.1
TBX20	T-box transcription factor 20;transcript_id=XM_045828591.1
DPY19L2	dpy-19 like 2;transcript_id=XM_045826976.1
DPY19L1	dpy-19 like C-mannosyltransferase 1%2C transcript variant X2;transcript_id=XM_045827941.1
DPY19L1	dpy-19 like C-mannosyltransferase 1%2C transcript variant X3;transcript_id=XM_045827942.1
DPY19L1	dpy-19 like C-mannosyltransferase 1%2C transcript variant X1;transcript_id=XM_045827940.1
NPSR1	neuropeptide S receptor 1;transcript_id=XM_045828423.1
BMPER	BMP binding endothelial regulator%2C transcript variant X2;transcript_id=XM_045828881.1
BMPER	BMP binding endothelial regulator%2C transcript variant X1;transcript_id=XM_045828880.1
BMPER	BMP binding endothelial regulator%2C transcript variant X3;transcript_id=XM_045828882.1
BBS9	Bardet-Biedl syndrome 9%2C transcript variant X1;transcript_id=XM_045827319.1
BBS9	Bardet-Biedl syndrome 9%2C transcript variant X2;transcript_id=XM_045827320.1
RP9	RP9 pre-mRNA splicing factor;transcript_id=XM_045827321.1
NT5C3A	5'-nucleotidase%2C cytosolic IIIA%2C transcript variant X1;transcript_id=XM_045828772.1
NT5C3A	5'-nucleotidase%2C cytosolic IIIA%2C transcript variant X3;transcript_id=XM_045828774.1
NT5C3A	5'-nucleotidase%2C cytosolic IIIA%2C transcript variant X4;transcript_id=XM_045828775.1
NT5C3A	5'-nucleotidase%2C cytosolic IIIA%2C transcript variant X2;transcript_id=XM_045828773.1
NT5C3A	5'-nucleotidase%2C cytosolic IIIA%2C transcript variant X5;transcript_id=XM_045828776.1
LOC123812280	small nucleolar RNA SNORA32;transcript_id=XR_006784556.1
FKBP9	FKBP prolyl isomerase 9;transcript_id=XM_045827674.1
LOC123811499	retinitis pigmentosa 9 protein homolog;transcript_id=XM_045827675.1
KBTBD2	kelch repeat and BTB domain containing 2%2C transcript variant X2;transcript_id=XM_045828195.1
KBTBD2	kelch repeat and BTB domain containing 2%2C transcript variant X1;transcript_id=XM_045828194.1
KBTBD2	kelch repeat and BTB domain containing 2%2C transcript variant X3;transcript_id=XM_045828196.1
AVL9	AVL9 cell migration associated;transcript_id=XM_045827406.1
LSM5	LSM5 homolog%2C U6 small nuclear RNA and mRNA degradation associated;transcript_id=XM_045827983.1
PDE1C	phosphodiesterase 1C%2C transcript variant X1;transcript_id=XM_045827375.1
PDE1C	phosphodiesterase 1C%2C transcript variant X4;transcript_id=XM_045827378.1
PDE1C	phosphodiesterase 1C%2C transcript variant X5;transcript_id=XM_045827379.1
PDE1C	phosphodiesterase 1C%2C transcript variant X3;transcript_id=XM_045827377.1
PDE1C	phosphodiesterase 1C%2C transcript variant X8;transcript_id=XM_045827382.1
PDE1C	phosphodiesterase 1C%2C transcript variant X2;transcript_id=XM_045827376.1
PDE1C	phosphodiesterase 1C%2C transcript variant X7;transcript_id=XM_045827381.1
PDE1C	phosphodiesterase 1C%2C transcript variant X6;transcript_id=XM_045827380.1
PPP1R17	protein phosphatase 1 regulatory subunit 17;transcript_id=XM_045828350.1
ITPRID1	ITPR interacting domain containing 1;transcript_id=XM_045826995.1
LOC123811140	uncharacterized LOC123811140;transcript_id=XR_006784359.1
NEUROD6	neuronal differentiation 6%2C transcript variant X1;transcript_id=XM_045828335.1
NEUROD6	neuronal differentiation 6%2C transcript variant X2;transcript_id=XM_045828336.1
ADCYAP1R1	ADCYAP receptor type I%2C transcript variant X1;transcript_id=XM_045828283.1
ADCYAP1R1	ADCYAP receptor type I%2C transcript variant X5;transcript_id=XM_045828287.1
ADCYAP1R1	ADCYAP receptor type I%2C transcript variant X3;transcript_id=XM_045828285.1
ADCYAP1R1	ADCYAP receptor type I%2C transcript variant X4;transcript_id=XM_045828286.1
ADCYAP1R1	ADCYAP receptor type I%2C transcript variant X6;transcript_id=XM_045828288.1
ADCYAP1R1	ADCYAP receptor type I%2C transcript variant X2;transcript_id=XM_045828284.1
GHRHR	growth hormone releasing hormone receptor;transcript_id=XM_045828438.1
AQP1	aquaporin 1 (Colton blood group);transcript_id=XM_045828442.1
MINDY4	MINDY lysine 48 deubiquitinase 4%2C transcript variant X2;transcript_id=XM_045827852.1
MINDY4	MINDY lysine 48 deubiquitinase 4%2C transcript variant X1;transcript_id=XM_045827851.1
CRHR2	corticotropin releasing hormone receptor 2%2C transcript variant X1;transcript_id=XM_045828704.1
CRHR2	corticotropin releasing hormone receptor 2%2C transcript variant X2;transcript_id=XM_045828706.1
CRHR2	corticotropin releasing hormone receptor 2%2C transcript variant X3;transcript_id=XM_045828707.1
GARS1	glycyl-tRNA synthetase 1;transcript_id=XM_045828538.1
LOC123811638	ER membrane protein complex subunit 5-like%2C transcript variant X1;transcript_id=XM_045827999.1
LOC123811638	ER membrane protein complex subunit 5-like%2C transcript variant X2;transcript_id=XM_045828000.1
GGCT	gamma-glutamylcyclotransferase;transcript_id=XM_045828104.1
NOD1	nucleotide binding oligomerization domain containing 1%2C transcript variant X2;transcript_id=XM_045828572.1
NOD1	nucleotide binding oligomerization domain containing 1%2C transcript variant X1;transcript_id=XM_045828571.1
NOD1	nucleotide binding oligomerization domain containing 1%2C transcript variant X3;transcript_id=XM_045828573.1
ZNRF2	zinc and ring finger 2;transcript_id=XM_045827168.1
LOC123811157	uncharacterized LOC123811157;transcript_id=XR_006784360.1
MTURN	maturin%2C neural progenitor differentiation regulator homolog;transcript_id=XM_045827579.1
PLEKHA8	pleckstrin homology domain containing A8%2C transcript variant X1;transcript_id=XM_045827925.1
PLEKHA8	pleckstrin homology domain containing A8%2C transcript variant X2;transcript_id=XM_045827926.1
FKBP14	FKBP prolyl isomerase 14;transcript_id=XM_045828737.1
SCRN1	secernin 1%2C transcript variant X2;transcript_id=XM_045827183.1
SCRN1	secernin 1%2C transcript variant X1;transcript_id=XM_045827182.1
LOC123812237	U6 spliceosomal RNA;transcript_id=XR_006784525.1
WIPF3	WAS/WASL interacting protein family member 3;transcript_id=XM_045827180.1
LOC123811166	uncharacterized LOC123811166;transcript_id=XR_006784361.1
PRR15	proline rich 15%2C transcript variant X2;transcript_id=XM_045828022.1
PRR15	proline rich 15%2C transcript variant X1;transcript_id=XM_045828021.1
CHN2	chimerin 2;transcript_id=XM_045827988.1
CPVL	carboxypeptidase vitellogenic like%2C transcript variant X1;transcript_id=XM_045828009.1
CPVL	carboxypeptidase vitellogenic like%2C transcript variant X2;transcript_id=XM_045828010.1
TRIL	TLR4 interactor with leucine rich repeats;transcript_id=XM_045828564.1
CREB5	cAMP responsive element binding protein 5%2C transcript variant X1;transcript_id=XM_045828303.1
CREB5	cAMP responsive element binding protein 5%2C transcript variant X2;transcript_id=XM_045828304.1
JAZF1	JAZF zinc finger 1%2C transcript variant X1;transcript_id=XM_045828884.1
JAZF1	JAZF zinc finger 1%2C transcript variant X2;transcript_id=XM_045828885.1
TAX1BP1	Tax1 binding protein 1%2C transcript variant X2;transcript_id=XM_045827778.1
TAX1BP1	Tax1 binding protein 1%2C transcript variant X1;transcript_id=XM_045827777.1
HIBADH	3-hydroxyisobutyrate dehydrogenase;transcript_id=XM_045827722.1
EVX1	even-skipped homeobox 1;transcript_id=XM_045828849.1
LOC123811928	uncharacterized LOC123811928%2C transcript variant X3;transcript_id=XR_006784460.1
LOC123811928	uncharacterized LOC123811928%2C transcript variant X2;transcript_id=XR_006784459.1
LOC123811928	uncharacterized LOC123811928%2C transcript variant X5;transcript_id=XR_006784462.1
LOC123811928	uncharacterized LOC123811928%2C transcript variant X1;transcript_id=XR_006784458.1
LOC123811928	uncharacterized LOC123811928%2C transcript variant X6;transcript_id=XR_006784463.1
LOC123811928	uncharacterized LOC123811928%2C transcript variant X4;transcript_id=XR_006784461.1
HOXA13	homeobox A13;transcript_id=XM_045828467.1
LOC123811573	uncharacterized LOC123811573%2C transcript variant X2;transcript_id=XR_006784403.1
LOC123811573	uncharacterized LOC123811573%2C transcript variant X1;transcript_id=XR_006784402.1
HOXA11	homeobox A11;transcript_id=XM_045827823.1
HOXA10	homeobox A10;transcript_id=XM_045827822.1
HOXA9	homeobox A9;transcript_id=XM_045827795.1
HOXA7	homeobox A7;transcript_id=XM_045828803.1
HOXA3	homeobox A3%2C transcript variant X3;transcript_id=XM_045827099.1
HOXA3	homeobox A3%2C transcript variant X2;transcript_id=XM_045827098.1
HOXA3	homeobox A3%2C transcript variant X4;transcript_id=XM_045827100.1
HOXA3	homeobox A3%2C transcript variant X1;transcript_id=XM_045827097.1
HOXA6	homeobox A6;transcript_id=XM_045827107.1
HOXA5	homeobox A5;transcript_id=XM_045827106.1
HOXA4	homeobox A4;transcript_id=XM_045827105.1
LOC123811134	uncharacterized LOC123811134%2C transcript variant X1;transcript_id=XR_006784357.1
LOC123811134	uncharacterized LOC123811134%2C transcript variant X2;transcript_id=XR_006784358.1
HOXA2	homeobox A2;transcript_id=XM_045827101.1
LOC123811133	uncharacterized LOC123811133;transcript_id=XR_006784356.1
HOXA1	homeobox A1%2C transcript variant X1;transcript_id=XM_045827102.1
HOXA1	homeobox A1%2C transcript variant X2;transcript_id=XM_045827103.1
SKAP2	src kinase associated phosphoprotein 2%2C transcript variant X2;transcript_id=XM_045828490.1
SKAP2	src kinase associated phosphoprotein 2%2C transcript variant X1;transcript_id=XM_045828489.1
LOC123812223	U6 spliceosomal RNA;transcript_id=XR_006784512.1
LOC123811064	uncharacterized LOC123811064%2C transcript variant X3;transcript_id=XR_006784344.1
LOC123811064	uncharacterized LOC123811064%2C transcript variant X2;transcript_id=XR_006784343.1
LOC123811064	uncharacterized LOC123811064%2C transcript variant X1;transcript_id=XR_006784342.1
SNX10	sorting nexin 10%2C transcript variant X1;transcript_id=XM_045828561.1
SNX10	sorting nexin 10%2C transcript variant X3;transcript_id=XM_045828563.1
SNX10	sorting nexin 10%2C transcript variant X2;transcript_id=XM_045828562.1
LOC123812301	U1 spliceosomal RNA;transcript_id=XR_006784576.1
CBX3	chromobox 3%2C transcript variant X5;transcript_id=XM_045828685.1
CBX3	chromobox 3%2C transcript variant X2;transcript_id=XM_045828682.1
CBX3	chromobox 3%2C transcript variant X4;transcript_id=XM_045828684.1
CBX3	chromobox 3%2C transcript variant X1;transcript_id=XM_045828681.1
CBX3	chromobox 3%2C transcript variant X3;transcript_id=XM_045828683.1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1%2C transcript variant X2;transcript_id=XR_006784476.1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1%2C transcript variant X4;transcript_id=XR_006784477.1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1%2C transcript variant X3;transcript_id=XM_045828677.1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1%2C transcript variant X1;transcript_id=XM_045828676.1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1%2C transcript variant X6;transcript_id=XM_045828679.1
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1%2C transcript variant X5;transcript_id=XM_045828678.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X7;transcript_id=XM_045828828.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X5;transcript_id=XM_045828826.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X3;transcript_id=XM_045828824.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X6;transcript_id=XM_045828827.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X2;transcript_id=XM_045828823.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X4;transcript_id=XM_045828825.1
NFE2L3	NFE2 like bZIP transcription factor 3%2C transcript variant X1;transcript_id=XM_045828822.1
LOC123812263	small nucleolar RNA SNORA23;transcript_id=XR_006784543.1
LOC123811046	uncharacterized LOC123811046;transcript_id=XR_006784340.1
CUNH7orf31	chromosome unknown C7orf31 homolog%2C transcript variant X1;transcript_id=XM_045828188.1
CUNH7orf31	chromosome unknown C7orf31 homolog%2C transcript variant X2;transcript_id=XM_045828189.1
LOC123811719	uncharacterized LOC123811719;transcript_id=XR_006784425.1
LOC123811546	cytochrome c;transcript_id=XM_045827779.1
LOC123812224	U6 spliceosomal RNA;transcript_id=XR_006784513.1
LOC123811093	ferritin heavy chain-like;transcript_id=XM_045827029.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X3;transcript_id=XM_045827450.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X1;transcript_id=XM_045827448.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X8;transcript_id=XM_045827455.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X7;transcript_id=XM_045827454.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X9;transcript_id=XM_045827456.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X2;transcript_id=XM_045827449.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X4;transcript_id=XM_045827451.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X6;transcript_id=XM_045827453.1
OSBPL3	oxysterol binding protein like 3%2C transcript variant X5;transcript_id=XM_045827452.1
GSDME	gasdermin E;transcript_id=XM_045827987.1
PALS2	protein associated with LIN7 2%2C MAGUK p55 family member%2C transcript variant X3;transcript_id=XM_045827726.1
PALS2	protein associated with LIN7 2%2C MAGUK p55 family member%2C transcript variant X4;transcript_id=XM_045827727.1
PALS2	protein associated with LIN7 2%2C MAGUK p55 family member%2C transcript variant X1;transcript_id=XM_045827724.1
PALS2	protein associated with LIN7 2%2C MAGUK p55 family member%2C transcript variant X2;transcript_id=XM_045827725.1
LOC123811656	uncharacterized LOC123811656%2C transcript variant X2;transcript_id=XR_006784415.1
LOC123811656	uncharacterized LOC123811656%2C transcript variant X1;transcript_id=XR_006784414.1
LOC123811657	uncharacterized LOC123811657%2C transcript variant X2;transcript_id=XR_006784417.1
LOC123811657	uncharacterized LOC123811657%2C transcript variant X1;transcript_id=XR_006784416.1
NPY	neuropeptide Y;transcript_id=XM_045828425.1
STK31	serine/threonine kinase 31;transcript_id=XM_045827040.1
FAM221A	family with sequence similarity 221 member A%2C transcript variant X2;transcript_id=XM_045828166.1
FAM221A	family with sequence similarity 221 member A%2C transcript variant X1;transcript_id=XM_045828165.1
CCDC126	coiled-coil domain containing 126;transcript_id=XM_045827929.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X3;transcript_id=XM_045827502.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X7;transcript_id=XM_045827506.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X11;transcript_id=XM_045827511.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X6;transcript_id=XM_045827505.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X5;transcript_id=XM_045827504.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X8;transcript_id=XM_045827507.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X9;transcript_id=XM_045827509.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X4;transcript_id=XM_045827503.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X1;transcript_id=XM_045827500.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X2;transcript_id=XM_045827501.1
TRA2A	transformer 2 alpha homolog%2C transcript variant X10;transcript_id=XM_045827510.1
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3%2C transcript variant X1;transcript_id=XM_045828454.1
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3%2C transcript variant X2;transcript_id=XM_045828455.1
MALSU1	mitochondrial assembly of ribosomal large subunit 1;transcript_id=XM_045828457.1
GPNMB	glycoprotein nmb;transcript_id=XM_045828081.1
NUP42	nucleoporin 42;transcript_id=XM_045828082.1
LOC123811764	uncharacterized LOC123811764;transcript_id=XR_006784436.1
KLHL7	kelch like family member 7%2C transcript variant X1;transcript_id=XM_045828220.1
KLHL7	kelch like family member 7%2C transcript variant X2;transcript_id=XM_045828221.1
KLHL7	kelch like family member 7%2C transcript variant X4;transcript_id=XM_045828223.1
KLHL7	kelch like family member 7%2C transcript variant X3;transcript_id=XM_045828222.1
FAM126A	family with sequence similarity 126 member A%2C transcript variant X2;transcript_id=XM_045828192.1
FAM126A	family with sequence similarity 126 member A%2C transcript variant X1;transcript_id=XM_045828191.1
FAM126A	family with sequence similarity 126 member A%2C transcript variant X3;transcript_id=XM_045828193.1
LOC123811885	uncharacterized LOC123811885;transcript_id=XR_006784451.1
LOC123812290	small nucleolar RNA SNORD93;transcript_id=XR_006784565.1
TOMM7	translocase of outer mitochondrial membrane 7;transcript_id=XM_045828147.1
IL6	interleukin 6%2C transcript variant X1;transcript_id=XM_045828399.1
IL6	interleukin 6%2C transcript variant X2;transcript_id=XM_045828400.1
IL6	interleukin 6%2C transcript variant X3;transcript_id=XM_045828401.1
LOC123811811	uncharacterized LOC123811811;transcript_id=XR_006784442.1
RAPGEF5	Rap guanine nucleotide exchange factor 5;transcript_id=XM_045827622.1
CDCA7L	cell division cycle associated 7 like%2C transcript variant X2;transcript_id=XR_006784390.1
CDCA7L	cell division cycle associated 7 like%2C transcript variant X1;transcript_id=XM_045827576.1
CDCA7L	cell division cycle associated 7 like%2C transcript variant X3;transcript_id=XM_045827577.1
DNAH11	dynein axonemal heavy chain 11%2C transcript variant X2;transcript_id=XM_045827575.1
DNAH11	dynein axonemal heavy chain 11%2C transcript variant X1;transcript_id=XM_045827574.1
SP4	Sp4 transcription factor%2C transcript variant X2;transcript_id=XR_006784423.1
SP4	Sp4 transcription factor%2C transcript variant X1;transcript_id=XM_045828114.1
SP8	Sp8 transcription factor;transcript_id=XM_045828675.1
ABCB5	ATP binding cassette subfamily B member 5;transcript_id=XM_045828292.1
ITGB8	integrin subunit beta 8%2C transcript variant X1;transcript_id=XM_045827538.1
ITGB8	integrin subunit beta 8%2C transcript variant X2;transcript_id=XM_045827539.1
ITGB8	integrin subunit beta 8%2C transcript variant X3;transcript_id=XM_045827540.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X5;transcript_id=XM_045828464.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X4;transcript_id=XM_045828462.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X3;transcript_id=XM_045828461.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X1;transcript_id=XM_045828459.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X2;transcript_id=XM_045828460.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X6;transcript_id=XM_045828465.1
MACC1	MET transcriptional regulator MACC1%2C transcript variant X7;transcript_id=XM_045828466.1
TMEM196	transmembrane protein 196%2C transcript variant X1;transcript_id=XM_045826953.1
TMEM196	transmembrane protein 196%2C transcript variant X3;transcript_id=XM_045826955.1
TMEM196	transmembrane protein 196%2C transcript variant X2;transcript_id=XM_045826954.1
TMEM196	transmembrane protein 196%2C transcript variant X4;transcript_id=XM_045826956.1
TMEM196	transmembrane protein 196%2C transcript variant X5;transcript_id=XM_045826957.1
POLR1F	RNA polymerase I subunit F;transcript_id=XM_045828574.1
LOC123811996	MAPK-interacting and spindle-stabilizing protein-like;transcript_id=XM_045828575.1
FERD3L	Fer3 like bHLH transcription factor;transcript_id=XM_045827250.1
TWIST1	twist family bHLH transcription factor 1;transcript_id=XM_045828204.1
HDAC9	histone deacetylase 9;transcript_id=XM_045827591.1
SNX13	sorting nexin 13%2C transcript variant X1;transcript_id=XM_045827322.1
SNX13	sorting nexin 13%2C transcript variant X2;transcript_id=XM_045827323.1
AHR	aryl hydrocarbon receptor;transcript_id=XM_045827536.1
AGR3	anterior gradient 3%2C protein disulphide isomerase family member%2C transcript variant X1;transcript_id=XM_045827858.1
AGR3	anterior gradient 3%2C protein disulphide isomerase family member%2C transcript variant X2;transcript_id=XM_045827859.1
AGR2	anterior gradient 2%2C protein disulphide isomerase family member%2C transcript variant X2;transcript_id=XM_045828912.1
AGR2	anterior gradient 2%2C protein disulphide isomerase family member%2C transcript variant X3;transcript_id=XM_045828913.1
AGR2	anterior gradient 2%2C protein disulphide isomerase family member%2C transcript variant X1;transcript_id=XM_045828911.1
TSPAN13	tetraspanin 13;transcript_id=XM_045827715.1
BZW2	basic leucine zipper and W2 domains 2%2C transcript variant X3;transcript_id=XM_045827708.1
BZW2	basic leucine zipper and W2 domains 2%2C transcript variant X2;transcript_id=XM_045827707.1
BZW2	basic leucine zipper and W2 domains 2%2C transcript variant X1;transcript_id=XM_045827705.1
ANKMY2	ankyrin repeat and MYND domain containing 2;transcript_id=XM_045828344.1
LRRC72	leucine rich repeat containing 72;transcript_id=XM_045827251.1
SOSTDC1	sclerostin domain containing 1;transcript_id=XM_045828146.1
CRPPA	CDP-L-ribitol pyrophosphorylase A;transcript_id=XM_045828807.1
MEOX2	mesenchyme homeobox 2;transcript_id=XM_045828069.1
AGMO	alkylglycerol monooxygenase;transcript_id=XM_045827861.1
LOC123812288	small nucleolar RNA SNORD67;transcript_id=XR_006784563.1
DGKB	diacylglycerol kinase beta%2C transcript variant X2;transcript_id=XM_045827955.1
DGKB	diacylglycerol kinase beta%2C transcript variant X1;transcript_id=XM_045827954.1
LOC123811615	uncharacterized LOC123811615;transcript_id=XR_006784407.1
ETV1	ETS variant transcription factor 1%2C transcript variant X1;transcript_id=XM_045828026.1
ETV1	ETS variant transcription factor 1%2C transcript variant X2;transcript_id=XM_045828027.1
ETV1	ETS variant transcription factor 1%2C transcript variant X3;transcript_id=XM_045828029.1
ETV1	ETS variant transcription factor 1%2C transcript variant X4;transcript_id=XM_045828030.1
ARL4A	ADP ribosylation factor like GTPase 4A%2C transcript variant X4;transcript_id=XM_045828537.1
ARL4A	ADP ribosylation factor like GTPase 4A%2C transcript variant X3;transcript_id=XM_045828536.1
ARL4A	ADP ribosylation factor like GTPase 4A%2C transcript variant X2;transcript_id=XM_045828535.1
ARL4A	ADP ribosylation factor like GTPase 4A%2C transcript variant X1;transcript_id=XM_045828534.1
SCIN	scinderin;transcript_id=XM_045828622.1
LOC123812143	taste receptor type 2 member 7-like;transcript_id=XM_045828809.1
VWDE	von Willebrand factor D and EGF domains;transcript_id=XM_045827252.1
TMEM106B	transmembrane protein 106B;transcript_id=XM_045827580.1
THSD7A	thrombospondin type 1 domain containing 7A%2C transcript variant X1;transcript_id=XM_045827695.1
THSD7A	thrombospondin type 1 domain containing 7A%2C transcript variant X2;transcript_id=XM_045827696.1
PHF14	PHD finger protein 14%2C transcript variant X4;transcript_id=XR_006784410.1
PHF14	PHD finger protein 14%2C transcript variant X2;transcript_id=XM_045828012.1
PHF14	PHD finger protein 14%2C transcript variant X6;transcript_id=XM_045828016.1
PHF14	PHD finger protein 14%2C transcript variant X1;transcript_id=XM_045828011.1
PHF14	PHD finger protein 14%2C transcript variant X3;transcript_id=XM_045828014.1
PHF14	PHD finger protein 14%2C transcript variant X5;transcript_id=XM_045828015.1
PHF14	PHD finger protein 14%2C transcript variant X9;transcript_id=XM_045828020.1
PHF14	PHD finger protein 14%2C transcript variant X8;transcript_id=XM_045828018.1
PHF14	PHD finger protein 14%2C transcript variant X7;transcript_id=XM_045828017.1
LOC123812308	U1 spliceosomal RNA;transcript_id=XR_006784582.1
NDUFA4	NDUFA4 mitochondrial complex associated;transcript_id=XM_045828623.1
LOC123812213	U6 spliceosomal RNA;transcript_id=XR_006784502.1
NXPH1	neurexophilin 1;transcript_id=XM_045828051.1
LOC123812317	U2 spliceosomal RNA;transcript_id=XR_006784585.1
LOC123812051	uncharacterized LOC123812051;transcript_id=XR_006784478.1
ICA1	islet cell autoantigen 1%2C transcript variant X3;transcript_id=XM_045828696.1
ICA1	islet cell autoantigen 1%2C transcript variant X6;transcript_id=XM_045828699.1
ICA1	islet cell autoantigen 1%2C transcript variant X1;transcript_id=XM_045828693.1
ICA1	islet cell autoantigen 1%2C transcript variant X4;transcript_id=XM_045828697.1
ICA1	islet cell autoantigen 1%2C transcript variant X2;transcript_id=XM_045828695.1
ICA1	islet cell autoantigen 1%2C transcript variant X5;transcript_id=XM_045828698.1
GLCCI1	glucocorticoid induced 1%2C transcript variant X3;transcript_id=XM_045827475.1
GLCCI1	glucocorticoid induced 1%2C transcript variant X2;transcript_id=XM_045827474.1
GLCCI1	glucocorticoid induced 1%2C transcript variant X1;transcript_id=XM_045827473.1
GLCCI1	glucocorticoid induced 1%2C transcript variant X4;transcript_id=XM_045827476.1
UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1%2C transcript variant X1;transcript_id=XM_045827477.1
UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1%2C transcript variant X3;transcript_id=XM_045827479.1
UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1%2C transcript variant X2;transcript_id=XM_045827478.1
UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1%2C transcript variant X4;transcript_id=XM_045827480.1
RPA3	replication protein A3;transcript_id=XM_045828297.1
MIOS	meiosis regulator for oocyte development%2C transcript variant X1;transcript_id=XM_045828272.1
MIOS	meiosis regulator for oocyte development%2C transcript variant X5;transcript_id=XM_045828276.1
MIOS	meiosis regulator for oocyte development%2C transcript variant X2;transcript_id=XM_045828273.1
MIOS	meiosis regulator for oocyte development%2C transcript variant X4;transcript_id=XM_045828275.1
MIOS	meiosis regulator for oocyte development%2C transcript variant X3;transcript_id=XM_045828274.1
MIOS	meiosis regulator for oocyte development%2C transcript variant X6;transcript_id=XM_045828277.1
COL28A1	collagen type XXVIII alpha 1 chain;transcript_id=XM_045827928.1
C1GALT1	core 1 synthase%2C glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1%2C transcript variant X1;transcript_id=XM_045827615.1
C1GALT1	core 1 synthase%2C glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1%2C transcript variant X2;transcript_id=XM_045827616.1
ASNS	asparagine synthetase (glutamine-hydrolyzing)%2C transcript variant X2;transcript_id=XM_045827760.1
ASNS	asparagine synthetase (glutamine-hydrolyzing)%2C transcript variant X1;transcript_id=XM_045827759.1
TAC1	tachykinin precursor 1%2C transcript variant X3;transcript_id=XR_006784426.1
TAC1	tachykinin precursor 1%2C transcript variant X5;transcript_id=XR_006784427.1
TAC1	tachykinin precursor 1%2C transcript variant X2;transcript_id=XM_045828157.1
TAC1	tachykinin precursor 1%2C transcript variant X7;transcript_id=XM_045828160.1
TAC1	tachykinin precursor 1%2C transcript variant X6;transcript_id=XM_045828159.1
TAC1	tachykinin precursor 1%2C transcript variant X1;transcript_id=XM_045828156.1
TAC1	tachykinin precursor 1%2C transcript variant X4;transcript_id=XM_045828158.1
