,Phase,Phase.batch,Band,Ban_Yr_Mo,Trtmt,Additive,Temp,Duration,SampleTime,DecTime,Sex,Est.Age,Cave,Site,Group,FA,WT,TTH,STATUS,LN.N.L..
Phase4.S11,4,Phase4,6216,6216_2023_5,C,PBS,38C,3,12:46 pm,12.77,F,4.67,IH2,Stairwell,St_NearRt,83.2,81.5,2.5,,-0.109727335
Phase4.S12,4,Phase4,6216,6216_2023_5,TH,LPS_1,38C,3,12:46 pm,12.77,F,4.67,IH2,Stairwell,St_NearRt,83.2,81.5,2.5,,-0.109727335
Phase4.S13,4,Phase4,6229,6229_2023_5,C,PBS,38C,3,1:01 pm,13.02,M,4.05,IH2,Elevator,El_CR,83.03,91,2.5,H,0.697823728
Phase4.S14,4,Phase4,6229,6229_2023_5,TH,LPS_1,38C,3,1:01 pm,13.02,M,4.05,IH2,Elevator,El_CR,83.03,91,2.5,H,0.697823728
Phase4.S15,4,Phase4,6254,6254_2023_5,C,PBS,38C,3,11:49 am,11.82,F,5.95,IH2,Elevator,El_CL,78.94,87.5,2,,0.238625915
Phase4.S16,4,Phase4,6254,6254_2023_5,TH,LPS_1,38C,3,11:49 am,11.82,F,5.95,IH2,Elevator,El_CL,78.94,87.5,2,,0.238625915
Phase4.S17,4,Phase4,6160,6160_2023_5,C,PBS,38C,3,12:29 pm,12.48,M,3.67,IH2,Stairwell,St_N,81.03,92.5,1.5,B,-0.424222474
Phase4.S18,4,Phase4,6160,6160_2023_5,TH,LPS_1,38C,3,12:29 pm,12.48,M,3.67,IH2,Stairwell,St_N,81.03,92.5,1.5,B,-0.424222474
Phase4.S19,4,Phase4,6163,6163_2023_5,C,PBS,38C,3,12:04 pm,12.07,M,1.74,IH2,Stairwell,St_N,81.46,86.5,1.5,B,-0.137555543
Phase4.S2,4,Phase4,6218,6218_2023_5,TH,LPS_1,38C,3,1:07 pm,13.12,F,3.78,IH2,Stairwell,St_NearRt,76.55,66.5,2,,-0.719941534
Phase4.S20,4,Phase4,6163,6163_2023_5,TH,LPS_1,38C,3,12:04 pm,12.07,M,1.74,IH2,Stairwell,St_N,81.46,86.5,1.5,B,-0.137555543
Phase4.S21,4,Phase4,6225,6225_2023_5,C,PBS,38C,3,12:20 pm,12.33,F,9.93,IH2,Elevator,El_CR,83.07,78.5,4,,0.012766131
Phase4.S22,4,Phase4,6225,6225_2023_5,TH,LPS_1,38C,3,12:20 pm,12.33,F,9.93,IH2,Elevator,El_CR,83.07,78.5,4,,0.012766131
Phase4.S23,4,Phase4,6228,6228_2023_5,C,PBS,38C,3,12:40 pm,12.67,F,9.02,IH2,Elevator,El_CR,84.52,81,2.5,,-0.438696725
Phase4.S24,4,Phase4,6228,6228_2023_5,TH,LPS_1,38C,3,12:40 pm,12.67,F,9.02,IH2,Elevator,El_CR,84.52,81,2.5,,-0.438696725
Phase4.S25,4,Phase4,6157,6157_2023_5,C,PBS,38C,3,11:54 am,11.9,M,5.77,IH2,Stairwell,St_N,82.66,93.5,2.5,B,-0.014538158
Phase4.S26,4,Phase4,6157,6157_2023_5,TH,LPS_1,38C,3,11:54 am,11.9,M,5.77,IH2,Stairwell,St_N,82.66,93.5,2.5,B,-0.014538158
Phase4.S27,4,Phase4,6157,6157_2024_5,CpG,CpG,38C,3,11:54 am,11.9,M,5.77,IH2,Stairwell,St_N,82.66,93.5,2.5,B,-0.014538158
Phase4.S28,4,Phase4,6159,6159_2023_5,C,PBS,38C,3,1:28 pm,13.47,M,9.29,IH2,Stairwell,St_N,80.29,88,3,B,2.540445
Phase4.S29,4,Phase4,6159,6159_2023_5,TH,LPS_1,38C,3,1:28 pm,13.47,M,9.29,IH2,Stairwell,St_N,80.29,88,3,B,2.540445
Phase4.S3,4,Phase4,6256,6256_2023_5,C,PBS,38C,3,11:43 am,11.72,M,6.66,IH2,Elevator,El_CL,80.85,90,3,H,-0.306544816
Phase4.S30,4,Phase4,6159,6159_2024_5,CpG,CpG,38C,3,1:28 pm,13.47,M,9.29,IH2,Stairwell,St_N,80.29,88,3,B,2.540445
Phase4.S31,4,Phase4,6217,6217_2023_5,C,PBS,38C,3,12:34 pm,12.57,F,11.03,IH2,Stairwell,St_NearRt,83.53,76.5,3,,-0.311824378
Phase4.S32,4,Phase4,6217,6217_2023_5,TH,LPS_1,38C,3,12:34 pm,12.57,F,11.03,IH2,Stairwell,St_NearRt,83.53,76.5,3,,-0.311824378
Phase4.S33,4,Phase4,6259,6259_2023_5,C,PBS,38C,3,11:15 am,11.25,F,11.6,IH2,Elevator,El_CL,81.59,79,5,,0.586734587
Phase4.S34,4,Phase4,6259,6259_2023_5,TH,LPS_1,38C,3,11:15 am,11.25,F,11.6,IH2,Elevator,El_CL,81.59,79,5,,0.586734587
Phase4.S4,4,Phase4,6256,6256_2023_5,TH,LPS_1,38C,3,11:43 am,11.72,M,6.66,IH2,Elevator,El_CL,80.85,90,3,H,-0.306544816
Phase4.S5,4,Phase4,6258,6258_2023_5,C,PBS,38C,3,11:26 am,11.43,F,1.73,IH2,Elevator,El_CL,79.33,83,1.5,,-1.361633799
Phase4.S6,4,Phase4,6258,6258_2023_5,TH,LPS_1,38C,3,11:26 am,11.43,F,1.73,IH2,Elevator,El_CL,79.33,83,1.5,,-1.361633799
Phase4.S7,4,Phase4,6263,6263_2023_5,C,PBS,38C,3,1:22 pm,13.37,M,9.97,IH2,Elevator,El_LeftEdge,84.43,96,3.5,H,-0.306730267
Phase4.S8,4,Phase4,6263,6263_2023_5,TH,LPS_1,38C,3,1:22 pm,13.37,M,9.97,IH2,Elevator,El_LeftEdge,84.43,96,3.5,H,-0.306730267
Phase4.S9,4,Phase4,6207,6207_2023_5,C,PBS,38C,3,1:22 pm,13.37,M,5.3,IH2,Stairwell,St_S,81.63,94.5,2,B,1.797823769
Phase5.b1.S1,5,Phase5.b1,3991,3991_2024_1,C,PBS,38C,3,2:40 pm,14.67,F,5.8,Tamana,Rd Chamber,R9,81.87,74.5,2.5,,0.828856432
Phase5.b1.S10,5,Phase5.b1,6001,6001_2024_1,C,PBS,38C,3,4:54 pm,16.9,M,6.79,Tamana,Rd Chamber,R12,82.68,98,2,H,1.883874758
Phase5.b1.S11,5,Phase5.b1,6001,6001_2024_1,TH,LPS_1,38C,3,4:54 pm,16.9,M,6.79,Tamana,Rd Chamber,R12,82.68,98,2,H,1.883874758
Phase5.b1.S12,5,Phase5.b1,6037,6037_2024_1,C,PBS,38C,3,3:07 pm,15.12,M,8.36,Tamana,Rd Chamber,R9,86.52,92.6,3.5,H,1.085278165
Phase5.b1.S13,5,Phase5.b1,6037,6037_2024_1,C0,None,38C,0,3:07 pm,15.12,M,7.69,Tamana,Rd Chamber,R9,86.37,91,3.5,H,1.974572547
Phase5.b1.S14,5,Phase5.b1,6037,6037_2024_1,TH,LPS_1,38C,3,3:07 pm,15.12,M,8.36,Tamana,Rd Chamber,R9,86.52,92.6,3.5,H,1.085278165
Phase5.b1.S15,5,Phase5.b1,6106,6106_2024_1,C,PBS,38C,3,4:52 pm,16.87,F,6.4,Tamana,Rd Chamber,R6,80.52,71,2.5,,0.347785997
Phase5.b1.S16,5,Phase5.b1,6106,6106_2024_1,TH,LPS_1,38C,3,4:52 pm,16.87,F,6.4,Tamana,Rd Chamber,R6,80.52,71,2.5,,0.347785997
Phase5.b1.S17,5,Phase5.b1,6115,6115_2024_1,C,PBS,38C,3,3:20 pm,15.33,M,5.3,Tamana,Rd Chamber,R6,82.1,85.5,2.5,H,1.261651916
